Keyword,DOI,Title,Abstract
web mining,10.1007/978-3-031-85240-4_12,Predicting the Role of Temozolomide Drug in Glioma by Integrating Available Genomic Databases and Computational Methods,"Cancer is one of the most serious and harmful diseases that threatens humanity. Currently there is no robust treatment which leads to guaranteed cure from cancer. Thus, researchers from various domains are still working hard to identify molecules such as genes and proteins which could be handled and targeted as cancer biomarkers. Various methods have been developed and the research spans wide range of techniques from wet lab testing by biologists to computational methods by computer scientists. The latter research is promising because it greatly reduces the number of molecules as potential biomarkers. This project investigated existing literature data by integrating text mining, as well as gene–gene interactions. Different genes are highlighted in relationship to Glioma and temozolomide."
web mining,10.1007/978-3-031-89518-0_1,On the Centrality of Web Trackers: Assessing Its Potential for Automated Detection,"For the past 20 years, web tracking has raised worries among privacy advocates and authorities responsible for data protection. Researchers have proposed several machine learning-driven remedies to identify Web trackers in an automated manner. While those have displayed potential, they have primarily remained as proofs-of-concept. This work extends on t.ex-Graph outlined in our previous work [ 36 ]. The aim of this model is to distinguish benign from tracking hosts by considering their centrality in the network, and data flows to them. Based on the results of our previous work, we abandoned the SLD-based approach. Consequently, we made slight modifications to the feature vector. Our classifier’s performance is comparable to its original version, and we tested its cross-browser and longitudinal performance. Our results indicate that while the cross-browser performance significantly decreases, the longitudinal performance maintains a high level."
web mining,10.1007/978-3-032-02215-8_7,An Enhanced FP-Growth Algorithm with Hybrid Adaptive Support Threshold for Association Rule Mining,"Finding frequent itemsets remains challenging due to manual threshold specification requirements in existing algorithms. This paper presents an Enhanced FP-Growth algorithm incorporating a hybrid adaptive support threshold that combines statistical variance analysis, frequency distribution patterns, and transaction density metrics. The algorithm automatically adjusts support levels based on dataset characteristics, eliminating manual threshold tuning. Experimental evaluation on five benchmark datasets against Aprior, FP-growth, and FP-Max shows our Enhanced FP-Growth consistently achieves superior execution time and improved memory efficiency. The hybrid threshold mechanism dynamically calibrates according to dataset characteristics, offering substantial efficiency gains across diverse data types."
web mining,10.1007/978-981-96-2771-4_1,Research on Vulnerability Mining Technology of Electric Power Industrial Control Equipment Based on Genetic Algorithm,"The traditional vulnerability mining methods for information systems require prior knowledge of protocol specifications, which often necessitates developers to invest significant time in learning and comprehending the protocol format for effective development of vulnerability mining test cases. However, in the power industry, industrial control equipment utilizes a multitude of private protocols with undisclosed specifications (unknown protocols). Consequently, the conventional vulnerability mining technology based on prior knowledge cannot be directly applied to these unknown industrial control protocols. To address this issue, this paper proposes a method and system of fuzzy testing for industrial control equipment based on genetic algorithms. The objective is to resolve challenges such as prolonged development periods, inability to test unknown protocols, and low efficiency in conducting vulnerability mining tests on unknown protocol vulnerabilities within industrial control equipment."
web mining,10.1007/978-3-032-00350-8_12,Ethical Implications of Using AI to Monitor and Regulate Dark Web Activities,"The dark web continues to attract more illegal activities, and law enforcement and societal security face significant challenges. AI, though strong for monitoring and regulation, does raise critical ethical concerns concerning the use of these technologies for that purpose. This study considers the ethical aspects of AI systems for policing the dark web, including the trade-off between security and privacy, risks of bias and discrimination, and accountability in automated decision-making. Through a mixed-method approach involving both legal analysis, expert interviews, and case studies of existing AI-driven dark web monitoring systems, we identify central ethical challenges and potential mitigation strategies. In doing so, our results will reflect how AI may strengthen efficiency and effectiveness in terms of dark web policing, which equally result in the violation of user privacy, the perpetuation of systemic biases, and a lack of transparency in its operations. Ultimately, we conclude that proper use of AI in monitoring dark webs requires a robust governance framework, one that can ensure accountability, legitimacy, and respect for civil liberties. Such a framework must build on robust, clear guidelines for collecting and utilizing information, regular audits of bias, effectiveness, and mechanisms for human oversight and intervention. Given such measures, chances for using AI in the fight against crimes committed on the dark web are securely positioned within the right and constitutional means to protect the rights of individuals in this age of digitization."
web mining,10.1007/978-3-031-93802-3_9,"Citation Knowledge Graphs for Academic Insights: Modelling, Processing, and Analysis","The constant flow of information allows the data network to be accurately depicted as a graph, illustrating the interconnections across various groups, including items, customers, transactions, categories, reviews, and suppliers. Graph databases are proficient at revealing relationships and patterns in domains such as social networks, recommendation systems, the semantic web, and fraud detection. They facilitate intricate inquiries, including the determination of shortest paths, the identification of pivotal hubs, and the analysis of relationships. Although graph databases exhibit significant scalability and effectively handle extensive quantities of interconnected data, they frequently lack semantic Information, formal structure, and explicit typing. Knowledge graphs (KGs) mitigate these restrictions by structuring data in a graph format and linking data points via relationships to encapsulate Information. This chapter seeks to elucidate the functionalities of KGs, encompassing activities from traditional graph configurations to semantic frameworks, scalability issues, and query methodologies."
web mining,10.1007/978-3-032-02215-8_29,Local-Aware Convolutional Modulation for Short-Term Sequential Recommendation,"Sequential recommendation models have predominantly relied on self-attention mechanisms in recent years. However, beyond self-attention, other deep neural architectures such as convolutional neural networks (CNNs) offer promising alternatives for capturing sequential patterns. In this paper, we explore the CNN-based architecture and propose L ocal-aware C onvolutional M odulation for Short-Term Sequential Rec ommendation (LCMRec). Like other convolutional neural network-based models, LCMRec benefits from strong local modelling capabilities through its convolutional architecture. By introducing the multi-head convolutional modulation (MHCM) unit, which applies convolutions with varying kernel sizes across multiple heads locally, LCMRec dynamically captures short-term dependencies at multiple scales and keeps a linear computational complexity. In experiments, LCMRec outperforms baseline models, demonstrating the efficacy of the convolutional architecture and validating the effectiveness of our approach in balancing multi-scale dependency modelling with computational efficiency."
web mining,10.1007/978-3-032-01723-9_10,Geospatially-Informed Recommendations for Automobile Purchases: Integrating Spatial Analysis for Enhanced Decision-Making,"This research proposes an integrated recommendation framework to support automobile purchase decisions by aligning consumer preferences with spatial and technical factors. In response to the challenges faced by car buyers, particularly those with limited automotive expertise and overwhelmed by excessive information, the model leverages sentiment analysis from social media and combines it with spatial variables, including dealership density, vehicle availability, circulation restrictions, environmental suitability, and pricing. These factors are then matched with technical specifications to generate personalized and context-aware vehicle suggestions. Using Mexico City as a case study, the empirical analysis reveals that regional differences in infrastructure, regulatory policies, economic conditions, and environmental constraints strongly shape vehicle preferences. The findings show that consumers in areas with stricter vehicle regulations and better service infrastructure tend to prefer vehicles with higher initial costs but lower long-term maintenance demands. While the system is built around the socio-economic and infrastructural peculiarities of Mexico City, it has been designed with modular and configurable components, allowing it to be adapted to international contexts with similar data availability. Nevertheless, the dependence on locally specific variables should be explicitly acknowledged when considering its broader applicability. This raises the question of scalability and transferability, inviting further research into how the framework can be generalized across diverse urban and regulatory environments."
web mining,10.1007/978-3-031-95296-8_14,Testing the Technology and Reliability of Using the Zigbee Network in Underground Mining Operations,"In this scientific study, we explore the possibilities of using ZigBee technology in underground mining operations and examine its reliability. Our paper highlights the advantages and challenges of using ZigBee technology for signal transmission in underground environments, along with an evaluation of signal transmission range and stability based on test results. This research develops a mathematical model for transmitting employee position data via a ZigBee network. To enhance the reliability of the ZigBee network, we also consider the implementation of redundancy mechanisms (backup pathways) within the network."
web mining,10.1007/978-3-031-93257-1_1,Time-Aware Recommendations with Motif-Enhanced Graph Learning,"The time-aware recommendation model captures the dynamic evolution of user interests and item popularity by analyzing users’ historical behaviors, resulting in more accurate recommendations. Recent research has increasingly shifted from traditional sequential models to Graph Neural Networks to more effectively encode complex dynamic collaborative information. Despite these advances, many approaches often overlook important higher-order relations at the motif level and the spatial dynamics within graphs. In this work, we propose a novel time-aware recommendation method named MoDynRec ( Mo tif-Enhanced Dyn amic Graph Learning for Rec ommendations), which effectively models higher-order features and their spatiotemporal evolution by incorporating motifs into dynamic graph representation learning. The approach employs a two-fold strategy: (1) a motif-preserving structural encoder, which aggregates higher-order information from diverse motifs to retain critical structural patterns, and (2) an attention-based temporal encoder, which integrates multi-head self-attention mechanisms to capture sequential evolution patterns in the temporal dimension. This is further enhanced by dynamic graph convolution networks, which explore spatial correlations among nodes, improving adaptability to evolving relationships over time. Extensive experiments on two publicly available datasets demonstrate the effectiveness of the proposed model."
web usage mining,10.1007/978-3-031-90470-7_6,‘Internet of Things’ and ‘Social Networking’: Containment,"Moving to the post-2000 period, or the post-formation Internet Polity, this chapter begins with the implications of the internet becoming the centred repository of sources, medium of investigation, and object in historicist accounts of recent and contemporary events. Debates on ‘technological determinism Technological determinism ’ are considered here. As events, 9/11 and the 2000 dot-com crash are pegged as turning points. A broad argument is proposed about the condition of the Internet Polity thereafter. It is suggested that it became contained in two moves during the 2000s. This containment involved, first, a space of the internet opening beyond the scope of the Internet Polity. This space incorporated data exchanges between ‘smart’ objects, unsupervised systems, and machine-learning systems. Second, much of the Internet Polity discourse and collective life became concentrated in very large platforms, which have global reach, local penetration, and data-management standards. This move facilitated the burgeoning data market and fed into the first move. The two moves are outlined by focusing on two catchwords and related terms. The first is addressed via the connotations of ‘Internet of Things’ and ‘smart’ objects, and the second by pausing on ‘social networking’ (on ‘sites’ or ‘platforms’). This chapter, and the study, concludes by briefly reconsidering the formative first principles of the Internet Polity, and pinpointing areas for further investigations."
web usage mining,10.1007/978-3-032-00983-8_5,Survey on Data Mining and Machine Learning Methods Used in Analyzing Tweets,"It is observed that the Mental illness by the actions and individual emotions and expressions towards a particular situation. It indicates that American Psychiatric Association that has 19% of people experience mental illness. Nearly 4.1% of people [ 1 ] are seriously affected by mental illness. In 2019, World Health Organization(WHO) reported that 264 million people suffer from mental disorders. With the technological growth and affordable internet access, social media usage and impacts are increased in society. Users use social networks to show their emotions, views, and comments related to mental health on various events and themselves. Different intelligent methods that analyze tweets related to depression are summarized. New research areas in analyzing data on social networks are discussed. This article highlights the data mining and machine learning methods associated with mental health using Twitter data."
web usage mining,10.1007/978-3-031-93802-3_7,Unveiling Power Laws in Graph Mining: Techniques and Applications in Graph Query Analysis,"Power laws play a crucial role in understanding the structural and functional properties of real-world graphs, influencing various aspects of graph mining and query processing. This paper explores the prevalence of power-law distributions in large-scale graph structures and their implications for graph query analysis. We investigate techniques for efficiently mining graphs that exhibit power-law characteristics, leveraging these distributions to optimize query performance and scalability. Our study presents a comprehensive review of existing methodologies for detecting power-law behavior in graphs, highlighting their impact on graph traversal, indexing, and query execution. We also examine algorithmic optimizations tailored for power-law graphs, including degree-based indexing, community-aware search techniques, and efficient subgraph matching approaches. Furthermore, we discuss the applications of power-law principles in diverse domains such as social network analysis, bioinformatics, and knowledge graphs. Through empirical analysis on real-world datasets, we demonstrate how power-law-aware techniques improve query efficiency and reduce computational complexity in large graph databases. The findings of this study offer valuable insights into the interplay between graph topology and query optimization, paving the way for enhanced graph mining frameworks. Our work contributes to the development of more scalable and intelligent graph query processing systems, with broad implications for data-driven decision-making."
web usage mining,10.1007/978-3-032-02215-8_7,An Enhanced FP-Growth Algorithm with Hybrid Adaptive Support Threshold for Association Rule Mining,"Finding frequent itemsets remains challenging due to manual threshold specification requirements in existing algorithms. This paper presents an Enhanced FP-Growth algorithm incorporating a hybrid adaptive support threshold that combines statistical variance analysis, frequency distribution patterns, and transaction density metrics. The algorithm automatically adjusts support levels based on dataset characteristics, eliminating manual threshold tuning. Experimental evaluation on five benchmark datasets against Aprior, FP-growth, and FP-Max shows our Enhanced FP-Growth consistently achieves superior execution time and improved memory efficiency. The hybrid threshold mechanism dynamically calibrates according to dataset characteristics, offering substantial efficiency gains across diverse data types."
web usage mining,10.1007/978-3-031-93257-1_6,Adaptive Web API Recommendation via Matching Service Clusters and Mashup Requirement,"With the rapid proliferation of Web services and Web APIs, recommendation systems can effectively address the issue of information overload and alleviate the burden of meaningless filtering. Existing approaches can help filtering appropriate Web services for mashup creation, however, they often fall short of developers’ different and personalized needs by recommending only a fixed number of APIs and lack precision in aligning mashup requirements across all categories. To solve the above issue, this paper introduces a novel Web service recommendation framework called AWAR for mashup creation, which focuses on the matching strategy between mashup requirements and Web APIs, and enhances recommendation effectiveness by integrating natural language processing, optimization algorithms, and deep learning. Extensive experiments conducted on large-scale real datasets demonstrate that the proposed approach receives superior recommendation results on multiple evaluation metrics compared to advanced competing baselines."
web usage mining,10.1007/978-3-032-02088-8_29,Benchmarking Embedding Techniques for Modeling User Navigation Behavior on Task-Oriented Software,"Understanding user navigation patterns from clickstream data is crucial for improving business software, yet remains challenging due to the complexity and variability of real-world environments. Unlike controlled settings, real-world clickstreams are noisy, fragmented, and often incomplete, due to session timeouts, network issues, caching, or third-party interactions—making it difficult to reconstruct coherent user journeys. Additionally, the absence of labeled data hinders the use of supervised learning, pushing researchers toward unsupervised or heuristic-based approaches that struggle to fully capture user behavior. In this paper, we present a benchmark of embedding techniques for modeling user navigation behavior on task-oriented software. We identify distinct user behaviors across three real-world case studies. Results show that Pattern2Vec outperforms Word2Vec in capturing meaningful task-based navigation patterns, confirming its suitability for clickstream analysis."
web usage mining,10.1007/978-3-032-01723-9_9,Analyzing Water Consumption Patterns in Mexico City: A GIS and Data Science Approach,"Water scarcity in Mexico City has become an increasingly urgent issue, exacerbated by inefficient and unequal consumption patterns across its urban fabric. This study advances Geographic Information Systems (GIS) research by developing and applying an integrative spatial analysis framework specifically tailored to the complexities of urban water management. Beyond its application to Mexico City, the research demonstrates how GIS can be used to fuse heterogeneous datasets, including those from SACMEX (Mexico City’s Water System), INEGI (National Institute of Statistics and Geography), and DENUE (National Directory of Economic Units), into a unified analytical environment. Through a combination of exploratory data analysis (EDA), spatial data mining, and clustering techniques, the study identifies critical disparities in water consumption at multiple spatial scales, from boroughs to neighborhoods. A key contribution is the implementation of a layered system architecture for managing historic spatiotemporal data, enabling dynamic visualization of consumption patterns. The findings reveal that socio-economic and demographic variables play a decisive role in shaping spatial water demand, with marginalized communities facing disproportionate challenges. While previous spatiotemporal analyses of water consumption in Mexico City have primarily focused on aggregated borough-level data or isolated socio-demographic correlations, they have often lacked multiscale integration, high-resolution neighborhood-level analysis, or interactive visualization tools to support policy development. This research addresses these limitations by providing a fine-grained, multilayered analytical approach that enhances the scientific understanding of urban water use. Beyond offering immediate policy-relevant insights for Mexico City, the methodological framework proposed here contributes to GIS research by providing a scalable, transferable approach for analyzing urban resource consumption patterns. Future work will focus on incorporating real-time data streams, expanding sector-specific analysis, and integrating additional variables and domains required for a comprehensive understanding of water dynamics. This study represents a first step toward building an adaptive, equitable, and efficient urban water management strategy."
web usage mining,10.1007/978-981-96-6951-6_19,Research on Sensor Behavioral Psychological Health Based on Multi-task Learning,"As society develops, mental health is becoming increasingly important. Traditional mental health assessment methods, such as face-to-face interviews and observational techniques, are limited by several factors, including subjectivity, response delays, and high costs. To address these issues, recent research has utilized smart sensor data. Using smartphones to collect data provides valuable insights into student behavior while ensuring the privacy of the individuals involved. The transition from traditional questionnaires to sensor data has prompted the adoption of a multi-task learning (MTL) framework for a more comprehensive classification of mental health. This study investigates the relationship between behavioral attributes and mental health dimensions, using the Apriori algorithm for association rule mining and feature extraction. This method uncovers significant correlations, highlighting the close connection between mental health and behavioral data through detailed analysis. The study proposes the use of multi-task modeling to optimize information utilization and identify correlations across tasks. The introduction of the Deep Cross Network with Squeeze and Excitation Network and Progressive Layered Extraction (DC-SE-PLE), a deep learning neural network model, enhances hierarchical feature extraction and cross-task learning, significantly improving the model’s generalization and prediction accuracy."
web usage mining,10.1007/978-3-031-89518-0_1,On the Centrality of Web Trackers: Assessing Its Potential for Automated Detection,"For the past 20 years, web tracking has raised worries among privacy advocates and authorities responsible for data protection. Researchers have proposed several machine learning-driven remedies to identify Web trackers in an automated manner. While those have displayed potential, they have primarily remained as proofs-of-concept. This work extends on t.ex-Graph outlined in our previous work [ 36 ]. The aim of this model is to distinguish benign from tracking hosts by considering their centrality in the network, and data flows to them. Based on the results of our previous work, we abandoned the SLD-based approach. Consequently, we made slight modifications to the feature vector. Our classifier’s performance is comparable to its original version, and we tested its cross-browser and longitudinal performance. Our results indicate that while the cross-browser performance significantly decreases, the longitudinal performance maintains a high level."
web usage mining,10.1007/978-3-032-02215-8_6,FNoDe: Faulty Node Detection in Microservices Architecture,"As cloud services shift from monolithic architectures to microservices, post-failure fault and anomaly detection becomes increasingly challenging due to cascading effects across interdependent services and the overwhelming volume of heterogeneous logs and metrics. We propose FNoDe (Faulty Node Detection), a framework that integrates application logs, performance metrics, and distributed traces into a unified graph structure to detect both the root cause and type of anomaly. By leveraging a graph convolutional network (GCN), FNoDe learns system representations under normal and anomalous states from historical microservice data and uses these embeddings to classify new system states. Evaluated on five public benchmarks and two in-house microservice systems, FNoDe outperforms traditional methods by 20–30% in accuracy and maintains competitive performance with state-of-the-art frameworks, while also offering interpretability through XAI techniques."
web usage mining,10.1007/978-3-031-90470-7_5,The Vocabulary and Culture of Internet Collectivity,"Taking a wider view, but still with a predominant focus on the 1990s, this chapter describes how a distinctive vocabulary for Internet Polity discourse developed and how cultural significance was attributed to collective activities on the internet. A brief discussion of the nodal term—‘internet’, and coterminously words with ‘e-’ and ‘digital’ prefixes—precedes that. An account of computing and internet dictionaries (and glossaries and word-listings) fleshes out the vocabulary that was consolidated as Internet Polity discourse. Several phases of dictionary making are covered: of computing terms for professionals, of computing terms for lay users, of hacker slang/jargon/techspeak, of internet terms in themselves, of internet slang Slang and cyberlexicography. Turning next to attributions of cultural collectivity via Internet Technology, the overlaps and distinction between Technoculture ‘technoculture’, ‘cyberculture Cyberculture ’, and ‘digital culture Digital culture ’ are unpacked. After pausing on the rise of popular ‘online communities’, a final section delineates the normative and ideological shifts that took place around the term ‘hacker’."
web usage mining,10.1007/978-3-032-02049-9_20,DInos: A Deep Reinforcement Learning Approach to Generalizable Autoscaling in Stateless Cloud Applications,"Efficient autoscaling in Kubernetes (K8s)-managed in-memory systems like Redis remains a critical challenge, especially under highly dynamic workloads. Traditional threshold-based mechanisms (e.g., HPA) often fail to anticipate sudden demand surges, leading to poor performance and inefficient resource use. We introduce DInos , a Deep Reinforcement Learning (Deep RL) agent enhanced with LSTM layers and transfer learning, designed for proactive and adaptive autoscaling in Kubernetes. As an evolution of our earlier agent DERP, DInos leverages temporal workload modeling and pre-trained policies to generalize across deployments with minimal retraining. DInos utilizes a customizable reward function balancing throughput, latency, resource usage, and pod efficiency. DInos achieves up to 17.3 $$\times $$ × higher rewards in simulation and a 5.5 $$\times $$ × improvement in real-world K8s-Redis deployments by forecasting spikes, optimizing pod counts and maintaining low latency, providing a robust autoscaling solution for volatile, cloud-native environments."
web usage mining,10.1007/978-3-032-00350-8_9,Enhanced Malicious URL Detection Through Feature Significance Analysis,"Effective detection and classification of malicious URLs are critical components of safeguarding against cyber threats in today’s digital landscape. Malicious URLs serve as gateways for various cyber-attacks, including malware distribution, phishing attempts, defacement activities, and spam propagation. Detecting these malicious URLs requires advanced techniques that can analyze and distinguish between benign and harmful web entities. Machine learning (ML) algorithms have emerged as powerful tools in this endeavor, leveraging diverse feature categories and sophisticated classifiers to differentiate between legitimate and harmful URLs. In our study, we evaluated the performance of ML algorithms, with Random Forest achieving notable accuracy rates of 96.83% for binary classification and 92.13% for multi-classification, outperforming other classifiers. Our investigation spans Lexical, Content Analysis, Identity Verification, Identity Similarity, Visual Similarity, Behavioral Analysis, Entropy Analysis, and Geographic Analysis features. Our research seeks to provide comprehensive insights into the methodologies and approaches employed in malicious URL detection. This research adopts a systematic, manual process to identify and rank critical URL characteristics, ensuring relevance and interpretability. The findings provide comprehensive insights into malicious URL detection methodologies, highlighting effective strategies for both binary and multi-class classification tasks."
