judul,isi,link,kategori
"Santri Masih Tertimbun, Musala Ponpes di Sidoarjo Roboh Jadi Atensi Prabowo","Kepala Badan Nasional Penanggulangan Bencana (BNPB), Suharyanto, mendatangi lokasi musala roboh di Pondok Pesantren (Ponpes) Al Khoziny,Sidoarjo, Jawa Timur. Suharyanto mengatakan mendapat perintah dari Presiden Prabowo Subianto untuk menangani peristiwa tersebut.
*Kehadiran kami ke sini merupakan perintah langsung dari Presiden RI Prabowo Subianto yang sekaligus menitipkan belasungkawa khususnya bagi keluarga korban semoga tegar dan diberikan kesabaran,"" kata Suharyanto seperti dikutip dari keterangan tertulis BNPB, Rabu (1/10/2025).
Suharyanto mengecek lokasi musala roboh itu bersama Kepala Basarnas M Syafii, Gubernur Jawa Timur Khofifah Indar Parawansa, dan Sekretaris Daerah Provinsi Jawa Timur Adhy Karyono. Bangunan itu diduga roboh karena kegagalan konstruksi.

Tim pencarian dan pertolongan (search and rescueatau SAR) gabungan masih berupaya mengevakuasi 91 santri yang diduga masih tertimbun reruntuhan bangunan. Data itu diperoleh berdasarkan daftar absensi.
Upaya evakuasi oleh tim SAR terhambat struktur gedung yang belum memungkinkan dibongkar menggunakan alat berat. Tim SAR menyebut ada enam santri yang masih hidup di bawah reruntuhan.
Tim SAR pun menggali jalur secara manual untuk mencapai korban yang diperkirakan masih hidup. Mereka mengirimkan suplai makanan untuk menjaga kondisi korban sambil meneruskan upaya evakuasi.

Suharyanto mengatakan upaya penyelamatan korban yang masih hidup menjadi prioritas. Dia mengatakan evakuasi jenazah korban akan dilaksanakan setelahnya.
""Evakuasi korban yang sudah dinyatakan tidak bernyawa itu nanti setelah kita yakin bahwa yang masih hidup itu bisa diselamatkan,"" jelas Suharyanto.
BNPB dan Basarnas juga berdialog dengan keluarga korban. Suharyanto mengatakan pihaknya berkomitmen mengutamakan pertolongan terhadap korban yang masih hidup di bawah reruntuhan.

""Kami mohon dukungan doa dari bapak ibu sekalian, semoga apa saja yang menjadi harapan kita semua dapat segera terwujud,"" katanya.
Berdasarkan data sementara hingga Rabu (1/10) pukul 11.00 WIB, ada 91 orang yang diduga masih tertimbun material bangunan. Tim SAR gabungan sendiri telah mengevakuasi kurang lebih 100 orang sejak peristiwa itu terjadi pada Senin (29/9).
Dari total korban yang dievakuasi, ada tiga orang meninggal dunia dan puluhan lainnya mengalami luka. Para korban telah mendapatkan penanganan medis di sejumlah rumah sakit.


[Gambas:Video 20detik]

",https://news.detik.com/berita/d-8139844/santri-masih-tertimbun-musala-ponpes-di-sidoarjo-roboh-jadi-atensi-prabowo,berita
Kepala BGN Bakal Lapor ke Prabowo soal Usulan Kata 'Gratis' di MBG Dihapus,"Kepala Badan Gizi Nasional (BGN), Dadan Hindayana, mengatakan bakal melapor ke Presiden Prabowo Subianto soal usulan anggota Komisi IX DPR RI Irma Chaniago yang meminta kata 'Gratis' di Makan Bergizi Gratis (MBG) untuk dihapus. Dadan menyebut akan berkoordinasi terkait itu.
""Untuk program yang nanti gratisnya dihilangkan, coba nanti kami akan sampaikan,"" kata Dadan dalam Rapat Kerja di DPR RI, kompleks parlemen, Senayan, Jakarta Pusat, Rabu (1/10/2025).

Dadan menyebut keputusan tersebut berada di tangan Presiden Prabowo. ""Apakah nanti Bapak Presiden setuju atau tidak supaya mungkin ada lebih edukatif,"" ungkapnya.
Sebelumnya, anggota Komisi IX DPR RI, Irma Chaniago, mengusulkan nomenklatur 'Gratis' dalam program Makan Bergizi Gratis untuk dihapus. Menurutnya, kata 'gratis' di sini berkonotasi negatif.
""Saya mau bicara sertifikasi. Ingat ya, sertifikasi ini banyak sekali disalahgunakan. Diperjualbelikan. Saya menangani tiga katering Pak sebelum saya masuk DPR. Tiga katering yang itu ribuan saya tangani dan saya tahu persis kenapa dan bagaimana agar tidak terjadi kasus-kasus yang seperti hari ini,"" kata Irma dalam Rapat Kerja Komisi IX DPR RI bersama BGN, Menteri Kesehatan hingga BPOM, kompleks parlemen, Senayan, Jakarta Pusat, Rabu (1/10/2025).

Legislator NasDem ini mengatakan tiga orang yang dikontrak untuk mengurus Satuan Pelayanan Pemenuhan Gizi (SPPG) semestinya melakukan tugas dengan benar dan sesuai ahli. Menurutnya, pelaksanaan MBG harus menyertai sejumlah pemangku kewenangan selain BGN.
""Makanya saya minta kepada BGN, untuk tiga orang, Bu Nanik, tiga orang yang dikontrak oleh BGN di SPPG itu harusnya, satu menangani keuangan dan administrasi. Dua, dia tahu persis soal nilai gizi. Yang ketiga tentang higienis, higienis itu nggak hanya menyangkut tentang makanan, tapi menyangkut dengan SPPG di dapur,"" ungkapnya.
Ia kemudian mengusulkan kata 'gratis' dalam MBG dihapus. Menurut Irma, nomenklatur itu berkonotasi negatif.
""Makan bergizi gratis ini, sebaiknya yang 'gratis'-nya itu dihapus Pak. Makan bergizi saja. Nggak usah pakai gratis karena konotasinya negatif,"" ujar Irma.
""Karena apa? Karena niat dari presiden, niat dari pemerintah, memberikan ini kepada anak-anak bangsa ini adalah niat yang sangat baik. Yang sangat mulia untuk anak-anak bangsa ini punya IQ yang lebih tinggi dari yang ada sekarang,"" imbuhnya.


[Gambas:Video 20detik]

",https://news.detik.com/berita/d-8139830/kepala-bgn-bakal-lapor-ke-prabowo-soal-usulan-kata-gratis-di-mbg-dihapus,berita
"Dipimpin Dasco, DPR Rapat Bareng Menhub-Asosiasi Pengemudi Bahas ODOL","Pimpinan DPR RI bersama Komisi V menggelar rapat dengan asosiasi pengemudi logistik. Rapat dilakukan untuk membahaszero overdimension overloading(ODOL) 2027.
Rapat dilakukan di ruang Komisi V DPR RI, Rabu (1/10/2025). Adapun pimpinan DPR yang hadir di antaranya Sufmi Dasco Ahmad, Cucun Ahmad Syamsurijal, dan Saan Mustopa. Turut hadir Menteri Perhubungan Dudy Purwagandi dan Ketua Komisi V Lasarus.
Dasco menyebut rapat kali ini untuk menindaklanjuti pertemuan yang telah dilakukan pada 4 Agustus lalu, yaitu untuk melakukan revisi Undang-Undang Nomor 22 Tahun 2009.
""Untuk menindaklanjuti hasil pertemuan tanggal 4 Agustus 2025 yang lalu dalam rangka melakukan revisi UU Nomor 22 Tahun 2009,"" sebutnya.

Selain itu, rapat membahas pembentukan tim kecil yang terdiri atas anggota Komisi V, Menhub, hingga perwakilan asosiasi pengemudi. Ada pula pembahasanzeroODOL tahun 2027.
""Kemudian tiga implementasi darizeroODOL ditetapkan dengantimelinetahun 2027 dengan komitmen penuh semua pihak dan aspirasi pengemudi,"" kata dia.
""Mari kita jadikan pertemuan ini menjadi bukti nyata bahwa kita bekerja untuk mewujudkanzeroODOL untuk kepentingan rakyat kita,"" tambahnya.
Sebelumnya, pemerintah dan DPR RI bersama asosiasi pengemudi logistik sepakat menujuzero overdimension overloading(ODOL) 2027. Kesepakatan itu diambil setelah menggelar rapat bersama pada Senin (4/8).
Dalam rapat itu, hadir Wakil Ketua DPR RI Sufmi Dasco Ahmad, Mensesneg Prasetyo Hadi, Menhub Dudy Purwagandhi, Seskab Teddy Indra Wijaya, Ketua Komisi V DPR RI Lasarus, Wakil Ketua Komisi V Syaiful Huda, dan perwakilan Asosiasi Pengemudi Logistik Suroso.

""Pada hari ini, kami kedatangan dari Asosiasi Pengemudi Logistik Nusantara, yaitu pengemudi perorangan yang selama ini mengangkut logistik, yang tadi kita telah berdiskusi bersama-sama dengan DPR dan pihak pemerintah yang diwakili Menhub, Mensesneg, dan Seskab, di mana tadi disampaikan oleh Mensesneg bahwa Presiden memperhatikan dengan cermat mengenai masalah overdimensi danoverloadsehingga tadi menuju zero ODOL tadi di 2027,"" kata Dasco.
Dasco mengatakan DPR dan pemerintah serta Asosiasi Pengemudi Logistik telah sepakat akan membentuk tim bersama. Nantinya, menurut dia, tim itu untuk merumuskan beberapa hal mengenaizeroODOL 2027.
""Kami telah bersepakat, baik dengan pemerintah maupun pihak Asosiasi Pengemudi Logistik Nusantara, akan membentuk tim bersama untuk merumuskan beberapa hal yang menjadi aspirasi dari teman-teman dari Asosiasi Logistik Nusantara,"" jelasnya.

Simak juga Video: Pemerintah-Asosiasi Pengemudi Sepakat Zero Overload-Overdimensi 2027

[Gambas:Video 20detik]

",https://news.detik.com/berita/d-8139820/dipimpin-dasco-dpr-rapat-bareng-menhub-asosiasi-pengemudi-bahas-odol,berita
"Hari Kesaktian Pancasila, Kemenbud Persembahkan Aubade Lagu Kebangsaan","Kementerian Kebudayaan RI memeriahkan Upacara Peringatan Hari Kesaktian Pancasila 2025 dengan persembahan aubade lagu kebangsaan. Upacara mengusung tema 'Pancasila Perekat Bangsa Menuju Indonesia Raya' dan dipimpin Presiden Prabowo Subianto sebagai inspektur upacara.
""Di era kemajuan digital ini, gunakanlah kreativitas saudara-saudara untuk menyebarkan pesan persatuan, toleransi, dan keadilan sosial. Buktikan kepada dunia bahwa generasi muda Indonesia adalah generasi yang cerdas, berkarakter, dan berjiwa Pancasila,"" ujar Menteri Kebudayaan Fadli Zon dalam keterangan tertulis, Rabu (1/10/2025).
Salah satu momen yang menarik perhatian terjadi usai upacara, ketika tim paduan suara SMK Negeri 2 Cibinong EDCO (Esemka Dua Cibinong Orchestra) tampil membawakan aubade lagu kebangsaan. Penampilan ini mendapat sambutan langsung dari Presiden Prabowo yang menyalami dan memberikan apresiasi kepada para siswa.
Momen kebersamaan semakin terasa saat Fadli didampingi Panglima TNI Jenderal Agus Subiyanto, Kepala Polisi RI Listyo Sigit Prabowo, dan Sekretaris Kabinet Teddy Indra Wijaya ikut menyanyikan sejumlah lagu nasional, diantaranya Indonesia Pusaka, Tanah Airku, Bangun Pemudi Pemuda, hingga Garuda Pancasila.
Fadli menegaskan nilai Pancasila hidup dalam karya seni, alunan musik, hingga interaksi sosial. Ia mengajak seniman, budayawan, tokoh adat, pendidik, hingga generasi muda menjadi garda terdepan melestarikan budaya berlandaskan Pancasila.
Ia juga berharap upacara Hari Kesaktian Pancasila dapat menjadi momentum untuk selalu mengenang jasa para pahlawan nasional.
""Nilai-nilai Pancasila hidup dalam setiap ritual adat, tercermin dalam setiap karya seni, terdengar dalam setiap alunan musik daerah, dan terasa dalam kehangatan interaksi sosial sehari-hari. Maka, saya mengajak seluruh elemen masyarakat, khususnya para seniman, budayawan, pegiat komunitas, tokoh adat, pendidik, hingga pemuka agama untuk menjadi garda terdepan dalam melestarikan dan mengembangkan ekspresi budaya yang berlandaskan nilai-nilai Pancasila,"" tutupnya.
Kegiatan ini menjadi simbol kolaborasi pemerintah dan generasi muda dalam menjaga serta mewariskan semangat Pancasila. Kementerian Kebudayaan menegaskan komitmen untuk terus melibatkan pelajar dalam berbagai aktivitas kebudayaan.

Simak Video: Fadli Zon Ungkap Museum Kesaktian Pancasila Akan Direvitalisasi

[Gambas:Video 20detik]

",https://news.detik.com/berita/d-8139812/hari-kesaktian-pancasila-kemenbud-persembahkan-aubade-lagu-kebangsaan,berita
"Cak Imin Kunker ke Kupang, Dorong Sekolah Rakyat Ditambah","Menteri Koordinator Pemberdayaan Masyarakat Muhaimin Iskandar atauCak Iminmenegaskan komitmen pemerintah untuk menambah Sekolah Rakyat. Upaya ini merupakan strategi pengentasan kemiskinan.
Hal ini disampaikan Cak Imin saat memantau Sekolah Rakyat (RS) Efata Kupang, di Nusa Tenggara Timur (NTT), Rabu (1/10/2025).
Dia menjelaskan Sekolah Rakyat adalah upaya percepatan pengentasan kemiskinan dengan memberikan pendidikan gratis berasrama untuk anak-anak dari keluarga miskin.
""Kita mendorong dan upayakan agar Sekolah Rakyat berdiri di semua kabupaten, agar lebih banyak menjangkau yang membutuhkan,"" kata Cak Imin.
Ia menambahkan semua kabupaten akan dibuatkan Sekolah Rakyat. Akan terus bertambah, termasuk di NTT. ""Setiap tahun akan bertambah dan semua kabupaten akan ada,"" kata dia.
Lebih lanjut dia juga mengapresiasi pengurus dan para guru SR 19 Kupang, yang telah memprioritaskan siswa dari keluarga miskin ekstrem, untuk bersekolah.
Ketum Partai Kebangkitan Bangsa (PKB) itu berharap 100 siswa Sekolah Rakyat ini akan lulus menjadi sumber daya manusia (SDM) yang berdaya dan mampu memaksimalkan segala potensi yang ada di NTT.
""Sekolah Rakyat di sini mengharukan, membanggakan, dan tentu ini hasil kerja keras. Dari sekian yang harus diterima, dipilih yang paling membutuhkan, dipilih 100 sebagai prioritas karena paling membutuhkan,"" jelasnya.
Cak Imin menekankan pentingnya integrasi instrumen penanggulangan kemiskinan meliputi Sekolah Rakyat, Makan Bergizi Gratis (MBG), pemberdayaan desa, serta optimalisasi peran pendamping masyarakat.
""Semua program ini harus terhubung dan saling menguatkan. Hanya dengan cara itu kita bisa benar-benar menurunkan angka kemiskinan,"" ujarnya.
Ia mengatakan, kehadiran Menko PM di NTT sekaligus menunjukkan komitmen pemerintah pusat untuk tidak hanya merancang kebijakan, tetapi juga memastikan implementasi di lapangan berjalan efektif.
""Ini bagian dari upaya kita bersama untuk mengentaskan kemiskinan, membangun keadilan sosial, dan membuka harapan baru bagi anak-anak bangsa,"" pungkasnya.

Simak juga Video Cak Imin Pastikan Uji Coba Sekolah Rakyat di Cibinong Digelar Besok

[Gambas:Video 20detik]

",https://news.detik.com/berita/d-8139801/cak-imin-kunker-ke-kupang-dorong-sekolah-rakyat-ditambah,berita
"Menkes Ungkap Temuan Penyebab Keracunan MBG, Ada 8 Bakteri hingga 2 Virus","Menteri Kesehatan (Menkes) RIBudi Gunadi Sadikinmemaparkan sejumlah temuan penyebab keracunan Makan Bergizi Gratis (MBG). Budi Gunadi menyebut ada sejumlah bakteri hingga virus yang menjadi penyebab, salah satunya salmonela hinggaEscherichia coli.
""Jadi dari hasil penelitian epidemiologi dari seluruh SPPG yang kita lihat ada keracunan, ini adalah penyebab-penyebabnya secara medis. Jadi ada yang bakteri, ada beberapa itu virus, dan ini kimia,"" ungkap Budi Gunadi di Rapat Komisi IX DPR RI, Senayan, Jakarta Pusat, Rabu (1/10/2025).
Dalam presentasi yang dipaparkan, ia merinci daftar bakteri dan virus itu. Berikut ini daftarnya:
Bakteri1. Salmonela2.Escherichia coli3.Bacillus cereus4.Staphylococcus aureus5.Clostridium perfringens6.Listeria monocytogenes7.Campylobacter jejuni8.Shigella

Virus1. Norovirus/rotavirus2. Hepatitis A virus
Kimia1. Nitrit2.Scombrotoxin(histamine)
Sebelumnya, Kepala Badan Gizi Nasional (BGN), Dadan Hindayana, mengungkap 6.517 orang mengalami keracunan MBG sejak program tersebut diluncurkan pada Januari 2025. Dadan menyebut keracunan terbanyak terjadi di Pulau Jawa sebanyak 45 kasus.
Hal tersebut disampaikan Dadan dalam rapat kerja dengan Komisi IX DPR RI di kompleks parlemen, Senayan, Jakarta Pusat, Rabu (1/10). Dadan membagi tiga wilayah pemantauan MBG, yakni wilayah 1 di Pulau Sumatera, wilayah II Pulau Jawa, dan wilayah III untuk Indonesia bagian timur.

""Sebaran kasus terjadinya gangguan pencernaan atau kasus di SPPG terlihat dari 6 Januari sampai 31 Juli itu tercatat ada kurang lebih 24 kasus kejadian. Sementara dari 1 Agustus sampai malam tadi itu ada 51 kasus kejadian,"" kata Dadan.
Dadan mengungkap ada 6.517 orang yang mengalami keracunan. Data itu, kata Dadan, dihimpun sejak Januari sampai akhir September 2025.
""Kalau dilihat dari sebaran kasus, maka kita lihat bahwa di wilayah I itu tercatat ada yang mengalami gangguan pencernaan sejumlah 1.307, wilayah II ini sudah bertambah tidak lagi 4.147 ditambah dengan yang di Garut mungkin 60 orang, wilayah III ada 1.003 orang,"" katanya.

Simak juga Video: Menkes Minta UKS Terlibat Dalam Mengecek Menu MBG

[Gambas:Video 20detik]

",https://news.detik.com/berita/d-8139781/menkes-ungkap-temuan-penyebab-keracunan-mbg-ada-8-bakteri-hingga-2-virus,berita
"Kemenbud-Polri Bahas Ekosistem Musik Dalam Negeri, Termasuk Isu Izin Acara","Kementerian Kebudayaan (Kemenbud) melakukan audiensi denganPolriuntuk mengamankan ekosistem musik dalam negeri. Hal yang beririsan dengan Polri adalah terkait isu perizinan acara musik.
Rombongan Kemenbud dipimpin Wamenbud Giring Ganesha mengunjungi Mabes Polri, dan melakukan audiensi dengan Wakapolri Komjen Dedi Prasetyo untuk membahas hal tersebut, Selasa (30/9/2025). Kedatangan Giring dan jajaran juga dalam rangka meminta dukungan pengamanan dari Polri terhadap acara Konferensi Musik Indonesia (KMI) 2025 dan Jakarta Music Cons 2025.
Dari keterangan tertulis, Rabu (1/10), kedua acara tersebut diharapkan jadi momentum penting untuk merumuskan arah kebijakan industri musik Indonesia. Diharapkanroadmapindustri musik Indonesia dapat tersusun untuk 5 hingga 10 tahun ke depan, serta menghasilkan rekomendasi kebijakan resmi yang akan diserahkan kepada DPR RI dan kementerian terkait.
Konferensi Musik Indonesia (KMI) 2025 dan Jakarta Music Cons 2025 juga diharapkan dapat mendorong kebijakan yang adil, mendukung ekonomi kreatif, serta memperkuat identitas budaya bangsa.

Acara-acara musik yang menjadi bagian dari industri kesenian ini tak terlepas dari prosedur izin dari aparat penegak hukum, yakniPolri. Oleh sebab itu Kemenbud berharap ada standar baku perizinan dan mekanisme perizinan yang sederhana baik skala kecil, sedang, maupun besar; dan sederhana karena selama ini acapkali dianggap rumit serta memunculkan celah pungli.
Hasil audiensi diperlukan adanya nota kesepahaman atau MoU antara Kemenbud dengan Polri untuk mendukung pemetaan lokasi event, assessment risiko, serta audit keamanan oleh yang didukung oleh personel pengamanan objek vital. Polri pun membuat tim pokja untuk menanggapi langsung kendala-kendala yang disampaikan tim Kemenbud.
""Terkait kendala perijinan akan dibentuk tim pokja yang terdiri dari Stamaops, BIK (Badan Intelijen Keamanan), Pamobvit dan tim pokja dengan Kemendagri, Kementerian Kebudayaan,"" ucap Komjen Dedi.
Dia menegaskan ⁠Polri berkomitmen menjaga kebebasan berekspresi masyarakat melalui musik dan seni, sekaligus memberikan jaminan keamanan dalam pelaksanaan event. ""Masih ada fenomena promotor atau EO yang tidak profesional semisal kabur, tidak bertanggung jawab, atau tanpa sertifikasi, yang memicu masalah keamanan dan perizinan,"" sambung dia.

Simak juga Video: Kemenbud Rilis Vinyl 8 Versi Lagu Indonesia Raya di Hari Musik Nasional

[Gambas:Video 20detik]

",https://news.detik.com/berita/d-8139770/kemenbud-polri-bahas-ekosistem-musik-dalam-negeri-termasuk-isu-izin-acara,berita
"Terima Pengurus IPJI, Bamsoet Dorong Penguatan Independensi pada Jurnalis","Anggota DPR RI sekaligus Ketua MPR RI ke-15 dan Wakil Ketua Umum Partai Golkar Bambang Soesatyo (Bamsoet) menyoroti visi Indonesia Emas yang tengah dicanangkan pemerintah. Ia mengatakan visi tersebut tidak hanya berfokus pada pembangunan infrastruktur dan pertumbuhan ekonomi, tetapi juga pada ekosistem demokrasi yang sehat.
Di dalamnya, peran pers profesional dan independen menjadi kunci utama. Media yang kuat dan bermartabat adalah benteng terakhir agar kebijakan publik tidak lahir dari informasi yang keliru atau manipulatif. Bamsoet mengatakan media tidak boleh kehilangan intergritasnya.
""Kalau media kehilangan integritas, ruang publik akan dikuasai oleh konten dangkal dan kepentingan tersembunyi. Kita tidak boleh membiarkan itu terjadi ketika bangsa ini sedang menyongsong Indonesia Emas 2045,"" ujar Bamsoet dalam keterangannya, Rabu (1/10/2025).
Hal ini disampaikan saat penerimaan Pengurus dan Anggota Ikatan Penulis dan Jurnalis Indonesia (IPJI) di Jakarta, Senin (30/9). Turut hadir di dalamnya Pengurus dan Anggota IPJI, antara lain Christy Andrini, Andi M.Nirwansyah, Purwono, Kun Wardana Abyoto dan Taufan Mutia.

Ketua DPR RI ke-20 dan Ketua Komisi III DPR RI ke-7 ini memaparkan sejumlah data menunjukkan kepercayaan publik terhadap media di Indonesia masih fluktuatif. Digital News Report tahun 2025 mencatat indeks kepercayaan publik naik tipis dari 35% menjadi 36%.
Angka tersebut masih tertinggal dibandingkan negara-negara yang mampu mempertahankan kepercayaan publik di atas 50%. Survei AJI bersama Remotivi pada tahun 2024 menunjukkan 70,2% publik masih percaya pada media arus utama, namun hanya 41,1% yang menilai media mampu menyajikan informasi secara utuh.
""Kondisi tersebut menandakan celah besar yang harus segera dijembatani. Tantangan media saat ini bukan semata arus disinformasi, tetapi juga rapuhnya model bisnis redaksi, intervensi kepemilikan, serta ancaman hukum dan kekerasan terhadap jurnalis,"" jelas Bamsoet.
Wakil Ketua Umum KADIN Indonesia dan Wakil Ketua Umum/Kepala Badan Bela Negara FKPPI ini mengingatkan bahwa penguatan pers tidak boleh dibebankan pada satu pihak. Pemerintah dan DPR bertugas memastikan regulasi yang ramah kebebasan berpendapat, media wajib menjaga independensi redaksi, dan masyarakat sipil berperan menumbuhkan literasi media sejak dini.
""Membangun media profesional dan merdeka sama artinya dengan membangun pilar demokrasi. Keputusan publik yang rasional hanya mungkin lahir dari informasi yang jernih. Indonesia Emas membutuhkan itu,"" tandasnya.

Simak juga Video: Dear Pak Prabowo, Kita Masih Temenan Kan?

[Gambas:Video 20detik]

",https://news.detik.com/berita/d-8139757/terima-pengurus-ipji-bamsoet-dorong-penguatan-independensi-pada-jurnalis,berita
Alasan Tim SAR Tak Pakai Alat Berat Saat Evakuasi Korban Ponpes Sidoarjo,"Tim SAR tidak menggunakan alat berat, seperticrane,saat mengevakuasi santri dari reruntuhan bangunan musalaPondok Pesantren Al Khoziny, Sidoarjo,Jawa Timur, meski sudah disiagakan di lokasi. Alasannya, tim SAR mempertimbangkan keselamatan korban dan petugas.
""Pola runtuhannya adalahpancake, jadi material bangunan bertumpuk, tidak stabil. Kalau langsung diangkat dengancrane, bisa terjadi runtuhan susulan. Itu berbahaya. Korban yang mungkin masih selamat bisa justru kehilangan nyawa,"" ujar seorang anggota Tim SAR, Ega Prasutia, dilansirdetikJatim, Rabu (1/10/2025).

Menurutnya, dengan kondisi runtuhan seperti itu, evakuasi lebih aman dilakukan secara manual menggunakan metodeshiftingataurolling, yaitu memindahkan material sedikit demi sedikit. Metode ini memang membutuhkan waktu lebih lama, tapi akan memaksimalkan keselamatan korban.
""Evakuasi dilakukan dengan alat khusus, bukancrane. Ini supaya korban yang mungkin masih hidup bisa tetap diselamatkan. Selain itu, tim SAR juga mengejargolden time, waktu krusial, untuk menemukan korban selamat,"" jelasnya.

Senada dengan Ega, Kapusdatin dan Komunikasi Kebencanaan BNPB Abdul Muhari mengatakan hal yang sama. Abdul mengatakan pihaknya tidak memakai alat berat karena khawatir korban yang sedang berjuang di balik runtuhan bangunan.
""Alat berat sudah disiagakan namun penggunaannya sementara belum dapat dilakukan karena dikhawatirkan getaran dapat memperparah kondisi reruntuhan,"" ujarnya dalam keterangan tertulis yang diterima.
Hingga kini, tim SAR masih terus melakukan evakuasi secara manual dengan dukungan relawan dan aparat setempat. Di lokasi kejadian sudah ada 332 personel SAR gabungan dari BASARNAS dan BPBD Jatim, kemudian ada personel Dinas PU SDA Provinsi, Tagana Dinas Sosial, aparat TNI serta Polri telah dikerahkan dengan metode kerja bergantian untuk menjaga ketahanan tim.

Simak lengkapnya disini.

Simak Video: Evakuasi Korban Ambruknya Ponpes Al Khoziny Masih Berlangsung

[Gambas:Video 20detik]

",https://news.detik.com/berita/d-8139754/alasan-tim-sar-tak-pakai-alat-berat-saat-evakuasi-korban-ponpes-sidoarjo,berita
Kerabat Tikam Pemilik Kios LPG Jakbar karena Kesal Barang Dijual Tanpa Izin,"Polisi mengungkap motif pria berinisial EH menikam kerabatnya sendiri, SAS (34), hingga tewas di wilayah Kebon Jeruk, Jakarta Barat (Jakbar). Pelaku kesal lantaran korban disebut hendak menjual barang miliknya.
""Jadi motif pelakunya, pelaku ini merasa kesal ya kepada korban karena ada barang miliknya yang dijual tanpa sepengetahuan pelaku, dijual korban tanpa sepengetahuan pelaku,"" kata Kapolsek Kebon Jeruk Kompol Nur Aqsha, Rabu (1/10/2025).

Hal itu terjadi karena pelaku kerap meminjam duit korban tapi tak kunjung dikembalikan. Hingga pelaku mendapatkan informasi bahwa korban hendak menjual barangnya.
""Korban itu menjual, menjual barangnya karena kesal utang-utang itu sampai sekarang tuh belum dibayar. Terus ada barang milik pelaku, jadi dia bilang 'yaudah, ini saya anggap untuk membayar utang-utangmu' seperti itu. Nah, pelaku ini kemudian masih kesal,"" ucapnya.
Berdasarkan hasil penyelidikan, pelaku memang meminjam uang hingga berkali-kali. Total pelaku meminjam uang kepada korban bisa mencapai ratusan juta rupiah.
""Dari keterangan saksi-saksi yang diperiksa juga ya, informasinya senilainya masih mungkin puluhan sampai ratusan juta juga. Jadi akumulasi ya, sudah sering sekali meminjam,"" bebernya.

Sebelumnya, Aqsha mengatakan peristiwa terjadi pada Selasa (30/9) siang. Sementara itu, pelaku berinisial EH merupakan pemilik kios yang disewa korban.
""Pelaku dan korban ini memang masih ada kerabat, tapi kerabat jauh ya. Kerabat dari salah satu marga ya, kerabat satu marga,"" kata Aqsha.
Pelaku yang marah kemudian mendatangi korban dengan maksud menganiayanya. Pelaku membawa sebilah pisau yang dibelinya dari salah satu toko dekat lokasi kejadian.
""Kemudian, pelaku ini datang, langsung menikam atau menusuk korban yang mana pada saat itu korban sedang dalam posisi membungkuk ya. Lagi membuka paket yang diterima di kiosnya tersebut,"" sebutnya.
Warga sekitar kemudian melerai kejadian tersebut dan menolong korban. Warga segera melarikan korban ke rumah sakit dan menangkap pelaku. Namun nahas, nyawa korban tak tertolong.
""Jadi untuk korban, setelah ditikam, dilarikan ke rumah sakit, kemudian dalam perawatan, selang beberapa jam kemudian tiga jam atau empat jam kemudian dinyatakan korban meninggal dunia dalam penanganan,"" pungkasnya.

Simak juga Video: Tak Terima Dipecat, Karyawan PT IWIP di Halteng Tikam Manajer

[Gambas:Video 20detik]

",https://news.detik.com/berita/d-8139745/kerabat-tikam-pemilik-kios-lpg-jakbar-karena-kesal-barang-dijual-tanpa-izin,berita
