IP,/faq.html,/index.html
109.84.19.176,1,0
109.84.193.203,1,0
109.84.195.4,0,1
109.84.197.209,1,0
109.84.198.158,0,1
109.84.198.239,0,1
109.84.199.107,1,0
109.84.2.234,0,1
109.84.202.90,0,1
109.84.204.102,0,1
109.84.204.226,0,1
109.84.204.32,0,1
109.84.209.179,1,0
109.84.209.185,0,1
109.84.21.222,1,0
109.84.215.180,0,1
109.84.219.5,0,1
109.84.22.207,1,0
109.84.226.229,1,0
109.84.229.77,0,1
109.84.234.1,0,1
109.84.241.195,1,0
109.84.241.227,1,0
109.84.253.144,0,1
109.84.253.224,0,1
109.84.29.72,1,0
109.84.29.9,0,1
109.84.3.243,0,1
109.84.30.80,0,1
109.84.33.130,1,0
109.84.39.79,1,0
109.84.40.76,0,1
109.84.42.21,1,0
109.84.44.167,1,0
109.84.6.166,0,1
109.84.60.168,1,0
109.84.61.197,0,1
109.84.72.17,0,1
109.84.75.21,1,0
109.84.80.166,1,0
109.84.82.119,0,1
109.84.89.129,0,1
109.84.91.67,1,0
109.84.98.119,0,1
109.86.78.6,0,1
110.139.171.101,1,0
110.139.249.109,0,1
110.139.37.217,0,1
110.139.45.35,0,1
110.164.80.96,0,1
110.175.100.242,0,1
110.175.103.249,0,1
110.175.106.136,1,0
110.175.11.105,1,0
110.175.134.30,0,1
110.175.139.50,1,0
110.175.151.202,0,1
110.175.152.87,1,0
110.175.153.15,0,1
110.175.154.139,0,1
110.175.156.150,0,1
110.175.158.123,0,1
110.175.159.108,0,1
110.175.159.45,1,0
110.175.162.153,1,0
110.175.163.159,0,1
110.175.186.200,1,0
110.175.186.45,0,1
110.175.19.18,0,1
110.175.192.138,0,1
110.175.213.56,1,0
110.175.222.211,0,1
110.175.228.57,1,0
110.175.23.204,0,1
110.175.23.226,0,1
110.175.235.240,0,1
110.175.237.108,0,1
110.175.241.191,0,1
110.175.242.120,0,1
110.175.251.47,1,0
110.175.28.112,1,0
110.175.44.254,0,1
110.175.5.55,0,1
110.175.58.28,1,0
110.175.62.167,0,1
110.175.67.140,1,0
110.175.71.2,1,0
110.175.80.176,0,1
110.175.80.218,1,0
110.175.92.207,0,1
110.55.100.254,0,1
110.55.107.100,0,1
110.55.137.15,0,1
110.55.137.85,1,0
110.55.146.220,0,1
110.55.147.125,0,1
110.55.152.238,1,0
110.55.180.85,1,0
110.55.189.191,0,1
110.55.196.184,0,1
110.55.196.3,0,1
110.55.2.81,1,0
110.55.204.172,0,1
110.55.206.64,0,1
110.55.21.42,1,0
110.55.210.219,0,1
110.55.211.238,0,1
110.55.232.26,1,0
110.55.237.13,0,1
110.55.250.206,0,1
110.55.26.12,1,0
110.55.36.225,1,0
110.55.60.63,1,0
110.55.63.38,1,0
110.55.64.88,1,0
110.55.71.140,1,0
110.55.72.207,0,1
110.55.80.48,1,0
110.55.86.148,0,1
110.55.92.38,1,0
111.119.144.110,1,0
111.119.28.132,0,1
112.200.106.178,0,1
113.106.103.55,0,1
113.106.116.32,0,1
113.106.121.237,1,0
113.106.125.215,0,1
113.106.139.243,0,1
113.106.153.163,0,1
113.106.157.233,0,1
113.106.160.204,0,1
113.106.163.66,0,1
113.106.166.163,1,0
113.106.170.116,1,0
113.106.171.188,0,1
113.106.180.203,1,0
113.106.2.90,0,1
113.106.205.156,0,1
113.106.207.64,0,1
113.106.21.64,0,1
113.106.213.136,1,0
113.106.222.240,0,1
113.106.223.45,1,0
113.106.23.42,1,0
113.106.232.121,0,1
113.106.236.36,0,1
113.106.238.112,1,0
113.106.246.228,0,1
113.106.28.74,0,1
113.106.30.34,0,1
113.106.31.203,0,1
113.106.33.202,1,0
113.106.39.89,0,1
113.106.43.155,0,1
113.106.46.128,0,1
113.106.53.143,1,0
113.106.55.63,1,0
113.106.63.249,1,0
113.106.68.133,0,1
113.106.69.211,0,1
113.106.69.57,0,1
113.106.70.207,0,1
113.106.72.246,0,1
113.106.77.164,1,0
113.106.79.102,0,1
113.106.79.79,1,0
113.106.9.117,1,0
113.106.99.192,1,0
113.97.100.133,0,1
113.97.108.220,0,1
113.97.122.1,1,0
113.97.130.74,0,1
113.97.155.204,0,1
113.97.174.218,0,1
113.97.199.13,0,1
113.97.204.124,1,0
113.97.206.99,0,1
113.97.236.209,0,1
113.97.242.116,1,0
113.97.30.220,0,1
113.97.33.49,0,1
113.97.41.185,0,1
113.97.46.72,1,0
113.97.53.80,0,1
113.97.81.148,0,1
113.97.92.38,1,0
114.120.0.176,1,0
114.120.103.176,1,0
114.120.104.94,0,1
114.120.108.226,1,0
114.120.109.231,0,1
114.120.111.209,0,1
114.120.116.179,1,0
114.120.123.174,1,0
114.120.126.123,1,0
114.120.132.146,0,1
114.120.133.243,0,1
114.120.134.92,0,1
114.120.137.238,0,1
114.120.137.5,1,0
114.120.150.14,1,0
114.120.163.156,0,1
114.120.163.160,1,0
114.120.164.80,0,1
114.120.165.90,1,0
114.120.175.218,0,1
114.120.177.129,1,0
114.120.184.135,0,1
114.120.185.37,1,0
114.120.19.232,1,0
114.120.192.207,0,1
114.120.193.174,1,0
114.120.197.70,0,1
114.120.202.132,0,1
114.120.206.45,0,1
114.120.207.151,0,1
114.120.208.152,0,1
114.120.223.111,0,1
114.120.229.169,1,0
114.120.230.25,0,1
114.120.232.136,1,0
114.120.236.122,1,0
114.120.236.80,0,1
114.120.239.84,1,0
114.120.251.180,0,1
114.120.254.136,1,0
114.120.28.239,1,0
114.120.33.63,0,1
114.120.45.238,0,1
114.120.51.134,0,1
114.120.51.81,1,0
114.120.56.166,1,0
114.120.57.150,0,1
114.120.60.197,1,0
114.120.61.43,0,1
114.120.63.37,0,1
114.120.65.215,1,0
114.120.66.12,1,0
114.120.66.89,0,1
114.120.70.77,0,1
114.120.76.206,1,0
114.120.78.115,1,0
114.120.80.85,1,0
114.120.89.118,0,1
114.120.9.12,0,1
114.120.9.141,1,0
114.120.9.75,0,1
114.120.91.219,1,0
114.120.92.46,1,0
114.120.96.88,1,0
114.121.117.153,0,1
114.121.133.50,1,0
114.121.143.53,0,1
114.121.143.84,0,1
114.121.200.217,0,1
114.121.205.75,1,0
114.121.234.49,0,1
114.121.246.82,0,1
114.121.27.20,1,0
114.121.44.158,0,1
114.121.56.225,0,1
114.121.68.242,1,0
114.121.97.111,0,1
114.125.110.121,0,1
114.125.113.63,0,1
114.125.119.43,0,1
114.125.140.48,0,1
114.125.155.191,0,1
114.125.162.233,0,1
114.125.166.129,0,1
114.125.216.145,0,1
114.125.216.72,0,1
114.125.219.169,0,1
114.125.3.70,0,1
114.125.81.186,0,1
114.217.110.176,0,1
114.217.141.24,0,1
114.217.159.71,0,1
114.217.171.205,0,1
114.217.18.75,0,1
114.217.182.82,1,0
114.217.184.172,0,1
114.217.204.162,1,0
114.217.228.91,0,1
114.217.234.244,0,1
114.217.41.180,1,0
114.217.52.104,1,0
114.217.67.142,0,1
114.217.68.3,0,1
114.217.88.19,0,1
114.247.0.54,0,1
114.247.127.193,1,0
114.247.130.187,1,0
114.247.141.194,0,1
114.247.145.153,0,1
114.247.171.200,1,0
114.247.174.122,0,1
114.247.174.157,0,1
114.247.181.68,1,0
114.247.182.94,0,1
114.247.188.235,0,1
114.247.189.139,0,1
114.247.19.104,0,1
114.247.195.159,0,1
114.247.195.178,0,1
114.247.201.248,1,0
114.247.203.55,0,1
114.247.204.223,0,1
114.247.214.70,0,1
114.247.220.116,0,1
114.247.232.251,1,0
114.247.239.254,1,0
114.247.239.45,0,1
114.247.24.104,0,1
114.247.248.150,1,0
114.247.25.204,0,1
114.247.30.102,0,1
114.247.34.244,1,0
114.247.64.163,0,1
114.247.82.83,0,1
114.247.96.224,0,1
114.249.133.70,0,1
114.249.135.220,0,1
114.249.181.94,0,1
114.249.218.78,0,1
114.249.220.222,0,1
114.249.228.164,1,0
114.249.237.51,0,1
114.249.241.2,0,1
114.249.36.157,0,1
114.249.42.32,1,0
114.249.84.48,0,1
114.249.88.219,1,0
114.249.88.32,1,0
114.249.9.51,0,1
114.255.102.106,1,0
114.255.106.180,0,1
114.255.114.46,0,1
114.255.120.158,1,0
114.255.124.183,1,0
114.255.138.55,0,1
114.255.143.99,0,1
114.255.145.111,1,0
114.255.147.93,0,1
114.255.159.173,1,0
114.255.161.104,0,1
114.255.173.86,0,1
114.255.178.43,1,0
114.255.18.254,1,0
114.255.181.149,1,0
114.255.182.27,0,1
114.255.183.122,0,1
114.255.190.212,0,1
114.255.202.182,0,1
114.255.203.74,0,1
114.255.208.124,1,0
114.255.222.142,0,1
114.255.223.12,1,0
114.255.228.144,0,1
114.255.24.137,1,0
114.255.242.69,0,1
114.255.245.84,0,1
114.255.251.116,0,1
114.255.253.215,0,1
114.255.27.15,1,0
114.255.27.150,1,0
114.255.45.214,0,1
114.255.73.159,0,1
114.255.84.58,1,0
114.255.88.147,1,0
114.255.94.34,0,1
114.255.94.72,0,1
114.48.103.245,0,1
114.48.114.70,1,0
114.48.126.109,0,1
114.48.128.230,0,1
114.48.148.35,0,1
114.48.161.45,0,1
114.48.175.195,0,1
114.48.177.143,0,1
114.48.177.237,1,0
114.48.188.173,1,0
114.48.196.178,0,1
114.48.20.123,0,1
114.48.20.64,1,0
114.48.211.158,1,0
114.48.216.20,0,1
114.48.216.244,1,0
114.48.22.100,0,1
114.48.220.186,1,0
114.48.222.28,1,0
114.48.224.21,0,1
114.48.233.41,0,1
114.48.239.168,1,0
114.48.34.118,0,1
114.48.40.164,0,1
114.48.49.63,1,0
114.48.55.86,0,1
114.48.57.94,1,0
114.48.61.83,0,1
114.48.84.66,1,0
114.48.85.129,0,1
114.48.94.34,0,1
114.59.103.12,0,1
114.59.115.78,1,0
114.59.120.125,0,1
114.59.134.56,0,1
114.59.143.242,0,1
114.59.153.225,0,1
114.59.163.79,1,0
114.59.170.135,0,1
114.59.194.199,1,0
114.59.205.153,0,1
114.59.225.12,0,1
114.59.228.147,0,1
114.59.66.164,0,1
114.59.80.178,0,1
114.80.153.36,0,1
114.80.20.237,0,1
114.80.236.182,1,0
115.113.12.195,0,1
115.113.122.210,0,1
115.113.134.52,0,1
115.113.168.198,1,0
115.113.199.211,0,1
115.113.200.5,0,1
115.113.203.154,1,0
115.113.204.181,0,1
115.113.209.126,0,1
115.113.228.178,1,0
115.113.245.41,0,1
115.113.249.66,0,1
115.113.251.88,0,1
115.113.32.137,0,1
115.113.38.121,1,0
115.113.64.77,0,1
115.113.65.73,0,1
115.113.80.146,0,1
115.113.81.174,0,1
115.113.9.106,0,1
115.113.9.145,0,1
115.130.1.14,0,1
115.130.101.5,0,1
115.130.102.58,1,0
115.130.103.101,1,0
115.130.111.110,0,1
115.130.114.25,0,1
115.130.118.30,0,1
115.130.120.80,0,1
115.130.122.13,0,1
115.130.132.20,0,1
115.130.143.194,1,0
115.130.144.111,1,0
115.130.145.181,1,0
115.130.15.98,0,1
115.130.153.123,0,1
115.130.154.140,1,0
115.130.156.248,1,0
115.130.159.63,0,1
115.130.161.0,1,0
115.130.172.134,1,0
115.130.175.234,0,1
115.130.181.50,1,0
115.130.181.82,0,1
115.130.183.81,1,0
115.130.184.13,0,1
115.130.191.217,0,1
115.130.197.216,1,0
115.130.198.74,0,1
115.130.226.74,1,0
115.130.241.155,1,0
115.130.241.4,1,0
115.130.244.120,1,0
115.130.245.174,0,1
115.130.246.40,0,1
115.130.25.96,0,1
115.130.250.46,0,1
115.130.250.96,1,0
115.130.251.251,0,1
115.130.29.48,1,0
115.130.3.23,0,1
115.130.31.126,0,1
115.130.31.53,1,0
115.130.38.240,0,1
115.130.40.109,0,1
115.130.47.215,0,1
115.130.62.131,1,0
115.130.66.178,0,1
115.130.8.228,0,1
115.130.8.68,0,1
115.130.80.114,1,0
115.130.87.93,0,1
115.130.99.151,0,1
115.186.12.10,0,1
115.186.122.176,0,1
115.186.131.53,0,1
115.186.145.108,0,1
115.186.145.74,0,1
115.186.146.125,0,1
115.186.174.218,0,1
115.186.185.75,1,0
115.186.2.117,0,1
115.186.246.124,1,0
115.186.5.28,0,1
115.186.62.56,0,1
115.186.70.220,1,0
115.186.76.159,0,1
115.186.82.174,0,1
115.186.91.48,0,1
115.186.94.231,0,1
115.87.107.127,0,1
115.87.139.81,0,1
115.87.141.199,0,1
115.87.202.123,0,1
115.87.210.76,1,0
115.87.214.77,0,1
115.87.251.128,0,1
115.87.45.230,1,0
115.87.52.153,0,1
115.87.53.26,0,1
115.87.67.20,0,1
115.87.75.43,0,1
115.87.79.136,0,1
116.124.104.88,0,1
116.124.109.212,0,1
116.124.11.61,0,1
116.124.113.88,0,1
116.124.116.246,0,1
116.124.116.61,0,1
116.124.12.143,0,1
116.124.124.209,0,1
116.124.126.244,0,1
116.124.128.142,1,0
116.124.131.164,0,1
116.124.134.71,0,1
116.124.137.26,1,0
116.124.137.9,1,0
116.124.140.173,0,1
116.124.140.221,0,1
116.124.143.61,1,0
116.124.143.83,0,1
116.124.150.70,1,0
116.124.153.246,1,0
116.124.158.34,0,1
116.124.164.179,1,0
116.124.165.38,0,1
116.124.165.82,0,1
116.124.166.73,0,1
116.124.168.63,0,1
116.124.173.124,1,0
116.124.178.98,0,1
116.124.181.68,1,0
116.124.184.197,0,1
116.124.187.119,0,1
116.124.191.243,0,1
116.124.194.159,1,0
116.124.195.249,0,1
116.124.199.177,0,1
116.124.2.74,0,1
116.124.20.201,1,0
116.124.20.251,0,1
116.124.20.69,0,1
116.124.200.105,0,1
116.124.201.254,1,0
116.124.203.176,0,1
116.124.206.139,0,1
116.124.207.114,0,1
116.124.209.232,1,0
116.124.214.223,0,1
116.124.215.212,0,1
116.124.218.62,0,1
116.124.220.185,1,0
116.124.220.242,0,1
116.124.222.154,0,1
116.124.223.79,0,1
116.124.225.50,1,0
116.124.227.16,0,1
116.124.228.119,0,1
116.124.230.177,1,0
116.124.234.19,0,1
116.124.235.134,1,0
116.124.236.118,1,0
116.124.236.70,1,0
116.124.238.164,0,1
116.124.239.75,0,1
116.124.239.95,1,0
116.124.240.90,0,1
116.124.241.76,0,1
116.124.245.192,1,0
116.124.27.234,0,1
116.124.27.92,0,1
116.124.29.205,0,1
116.124.34.22,0,1
116.124.45.178,1,0
116.124.49.136,1,0
116.124.50.10,0,1
116.124.59.155,1,0
116.124.61.69,0,1
116.124.66.55,1,0
116.124.73.67,0,1
116.124.74.72,1,0
116.124.77.170,1,0
116.124.81.147,0,1
116.124.82.212,1,0
116.124.83.215,0,1
116.124.90.128,0,1
116.124.92.87,1,0
116.124.93.154,0,1
116.125.194.54,1,0
116.226.1.115,1,0
116.226.10.61,0,1
116.226.111.36,0,1
116.226.114.135,0,1
116.226.119.213,1,0
116.226.125.41,1,0
116.226.130.147,0,1
116.226.136.237,1,0
116.226.143.187,0,1
116.226.149.173,0,1
116.226.160.6,1,0
116.226.162.140,0,1
116.226.163.37,0,1
116.226.167.58,0,1
116.226.179.144,0,1
116.226.201.112,1,0
116.226.206.139,0,1
116.226.207.29,0,1
116.226.209.191,0,1
116.226.217.26,0,1
116.226.218.36,0,1
116.226.218.65,0,1
116.226.219.47,0,1
116.226.227.130,0,1
116.226.241.239,1,0
116.226.251.178,1,0
116.226.3.109,1,0
116.226.39.116,0,1
116.226.40.180,0,1
116.226.49.212,0,1
116.226.52.134,1,0
116.226.54.231,0,1
116.226.55.160,1,0
116.226.6.43,0,1
116.226.62.21,0,1
116.226.72.249,0,1
116.226.73.186,1,0
116.226.88.168,0,1
116.226.91.159,0,1
116.226.94.141,0,1
116.24.178.195,0,1
116.24.19.35,1,0
116.24.206.203,0,1
116.24.215.75,0,1
116.76.105.95,1,0
116.76.107.34,0,1
116.76.119.52,0,1
116.76.12.61,0,1
116.76.120.174,0,1
116.76.120.63,0,1
116.76.124.188,0,1
116.76.124.230,0,1
116.76.128.33,1,0
116.76.137.224,1,0
116.76.138.164,0,1
116.76.14.0,1,0
116.76.14.68,0,1
116.76.141.221,0,1
116.76.15.240,0,1
116.76.154.220,1,0
116.76.156.64,1,0
116.76.162.55,0,1
116.76.164.88,1,0
116.76.174.182,0,1
116.76.184.25,0,1
116.76.187.111,0,1
116.76.188.106,0,1
116.76.188.139,0,1
116.76.188.245,0,1
116.76.189.188,0,1
116.76.193.209,0,1
116.76.195.159,1,0
116.76.202.134,1,0
116.76.202.205,0,1
116.76.207.15,1,0
116.76.208.152,0,1
116.76.209.17,0,1
116.76.21.48,0,1
116.76.217.117,0,1
116.76.225.91,0,1
116.76.24.41,1,0
116.76.244.26,0,1
116.76.244.89,0,1
116.76.244.95,0,1
116.76.250.88,0,1
116.76.251.161,0,1
116.76.251.168,0,1
116.76.252.244,1,0
116.76.3.201,0,1
116.76.35.208,0,1
116.76.35.80,0,1
116.76.4.128,0,1
116.76.43.72,1,0
116.76.53.47,0,1
116.76.56.176,1,0
116.76.6.88,0,1
116.76.72.104,1,0
116.76.9.31,0,1
116.76.97.53,0,1
117.136.0.211,0,1
117.136.1.227,1,0
117.136.103.191,0,1
117.136.107.213,0,1
117.136.112.152,0,1
117.136.115.73,0,1
117.136.116.182,0,1
117.136.117.125,0,1
117.136.117.45,1,0
117.136.121.227,1,0
117.136.122.142,1,0
117.136.124.224,0,1
117.136.127.171,1,0
117.136.128.60,0,1
117.136.132.146,0,1
117.136.133.149,0,1
117.136.135.15,1,0
117.136.135.253,1,0
117.136.137.249,1,0
117.136.138.45,0,1
117.136.14.93,0,1
117.136.145.141,0,1
117.136.146.202,0,1
117.136.149.126,0,1
117.136.152.76,0,1
117.136.155.39,0,1
117.136.156.199,0,1
117.136.158.163,0,1
117.136.165.143,0,1
117.136.167.209,0,1
117.136.17.27,0,1
117.136.170.50,0,1
117.136.172.244,1,0
117.136.174.190,0,1
117.136.179.189,0,1
117.136.181.236,1,0
117.136.182.162,0,1
117.136.182.196,0,1
117.136.182.205,0,1
117.136.188.223,1,0
117.136.191.14,0,1
117.136.193.199,0,1
117.136.194.223,0,1
117.136.2.227,0,1
117.136.2.29,1,0
117.136.200.146,0,1
117.136.205.204,0,1
117.136.206.106,0,1
117.136.209.57,0,1
117.136.210.221,0,1
117.136.211.204,0,1
117.136.214.240,0,1
117.136.217.221,0,1
117.136.218.231,0,1
117.136.223.201,0,1
117.136.224.211,0,1
117.136.226.200,1,0
117.136.232.43,0,1
117.136.233.176,0,1
117.136.234.226,0,1
117.136.240.204,0,1
117.136.247.22,1,0
117.136.248.213,0,1
117.136.251.244,1,0
117.136.251.3,0,1
117.136.253.156,0,1
117.136.254.189,1,0
117.136.28.193,0,1
117.136.30.252,0,1
117.136.32.22,0,1
117.136.34.63,0,1
117.136.36.161,1,0
117.136.36.71,1,0
117.136.42.81,0,1
117.136.43.236,1,0
117.136.44.126,0,1
117.136.44.15,1,0
117.136.45.56,0,1
117.136.47.251,0,1
117.136.55.171,0,1
117.136.56.98,0,1
117.136.58.11,1,0
117.136.6.241,0,1
117.136.61.142,0,1
117.136.64.177,0,1
117.136.64.62,0,1
117.136.71.203,0,1
117.136.72.22,0,1
117.136.72.77,1,0
117.136.75.111,0,1
117.136.77.99,0,1
117.136.81.76,1,0
117.136.89.222,1,0
117.136.89.227,0,1
117.136.91.11,0,1
117.136.92.149,1,0
117.193.142.28,0,1
117.193.164.154,0,1
117.193.191.77,0,1
117.193.194.88,0,1
117.193.210.57,0,1
117.193.218.148,0,1
117.193.219.25,1,0
117.193.235.38,1,0
117.193.63.134,0,1
117.193.66.179,1,0
117.196.114.127,0,1
117.196.118.97,1,0
117.196.122.0,0,1
117.196.126.127,0,1
117.196.129.8,0,1
117.196.134.139,0,1
117.196.144.33,1,0
117.196.158.118,0,1
117.196.174.62,1,0
117.196.18.123,1,0
117.196.180.31,0,1
117.196.183.233,1,0
117.196.184.69,0,1
117.196.196.136,0,1
117.196.201.145,1,0
117.196.204.61,0,1
117.196.249.13,0,1
117.196.38.221,0,1
117.196.42.1,0,1
117.196.73.201,1,0
117.22.154.239,0,1
117.22.213.242,0,1
117.23.103.179,1,0
117.23.116.208,0,1
117.23.122.37,1,0
117.23.142.94,0,1
117.23.147.150,0,1
117.23.150.112,0,1
117.23.157.50,1,0
117.23.160.91,0,1
117.23.163.191,0,1
117.23.17.215,0,1
117.23.173.246,0,1
117.23.176.11,0,1
117.23.191.125,0,1
117.23.247.89,0,1
117.23.249.49,0,1
117.23.28.18,0,1
117.23.4.56,0,1
117.23.42.222,1,0
117.23.50.234,1,0
117.23.62.86,0,1
117.23.65.79,0,1
117.23.71.79,0,1
117.23.74.254,0,1
117.23.76.116,1,0
117.23.77.163,1,0
117.23.80.251,0,1
117.23.82.183,1,0
117.23.92.56,0,1
117.23.94.4,1,0
117.39.101.36,0,1
117.39.118.254,1,0
117.39.141.133,1,0
117.39.163.158,1,0
117.39.169.33,0,1
117.39.174.212,1,0
117.39.175.133,0,1
117.39.18.121,0,1
117.39.183.98,0,1
117.39.187.181,0,1
117.39.195.246,1,0
117.39.205.59,0,1
117.39.211.251,0,1
117.39.222.37,1,0
117.39.225.47,0,1
117.39.226.62,1,0
117.39.23.62,1,0
117.39.231.123,1,0
117.39.242.10,1,0
117.39.25.25,0,1
117.39.38.207,0,1
117.39.59.162,0,1
117.39.87.182,0,1
117.39.88.12,0,1
117.39.92.82,1,0
118.168.125.144,1,0
118.168.134.125,1,0
118.168.166.175,0,1
118.168.172.158,1,0
118.168.178.148,0,1
118.168.178.92,0,1
118.168.184.182,0,1
118.168.187.66,0,1
118.168.22.184,1,0
118.168.23.97,0,1
118.168.236.6,1,0
118.168.33.243,0,1
118.168.63.168,0,1
118.168.69.29,0,1
118.209.110.186,0,1
118.209.128.10,1,0
118.209.135.216,1,0
118.209.148.71,1,0
118.209.183.185,1,0
118.209.241.50,1,0
118.209.245.65,0,1
118.209.32.158,1,0
118.209.63.126,0,1
118.93.10.198,0,1
118.93.105.128,0,1
118.93.120.214,0,1
118.93.125.182,1,0
118.93.128.201,0,1
118.93.133.16,0,1
118.93.147.106,0,1
118.93.153.121,0,1
118.93.156.166,0,1
118.93.22.179,1,0
118.93.237.23,1,0
118.93.247.21,1,0
118.93.31.126,1,0
118.93.39.47,0,1
118.93.4.211,0,1
118.93.46.110,0,1
118.93.54.228,0,1
118.96.102.46,1,0
118.96.105.84,0,1
118.96.120.43,0,1
118.96.127.224,0,1
118.96.129.0,0,1
118.96.131.143,0,1
118.96.135.4,0,1
118.96.136.35,0,1
118.96.136.83,0,1
118.96.138.119,1,0
118.96.142.168,1,0
118.96.144.46,0,1
118.96.148.61,1,0
118.96.149.247,0,1
118.96.151.71,0,1
118.96.167.83,0,1
118.96.172.227,0,1
118.96.173.96,0,1
118.96.190.87,0,1
118.96.196.189,0,1
118.96.197.22,0,1
118.96.199.209,1,0
118.96.200.50,1,0
118.96.201.128,0,1
118.96.204.52,1,0
118.96.206.100,0,1
118.96.217.98,1,0
118.96.234.122,1,0
118.96.234.81,0,1
118.96.25.10,0,1
118.96.25.41,1,0
118.96.25.86,1,0
118.96.38.181,1,0
118.96.39.251,0,1
118.96.48.117,0,1
118.96.57.138,1,0
118.96.58.150,0,1
118.96.65.249,1,0
118.96.88.70,0,1
118.96.95.83,1,0
119.100.107.38,0,1
119.100.112.74,0,1
119.100.116.192,0,1
119.100.121.48,1,0
119.100.122.28,0,1
119.100.135.46,0,1
119.100.155.62,0,1
119.100.158.135,0,1
119.100.169.234,0,1
119.100.175.126,0,1
119.100.177.147,0,1
119.100.205.228,1,0
119.100.212.122,1,0
119.100.226.152,0,1
119.100.24.119,0,1
119.100.25.252,0,1
119.100.251.124,0,1
119.100.29.145,0,1
119.100.4.199,0,1
119.100.43.182,1,0
119.100.46.226,0,1
119.100.94.237,1,0
119.122.10.130,1,0
119.122.10.251,1,0
119.122.101.68,0,1
119.122.105.21,0,1
119.122.106.61,0,1
119.122.107.116,1,0
119.122.11.241,1,0
119.122.114.199,1,0
119.122.121.154,0,1
119.122.132.65,0,1
119.122.133.131,0,1
119.122.133.46,1,0
119.122.139.45,0,1
119.122.148.101,1,0
119.122.148.176,1,0
119.122.152.176,1,0
119.122.153.15,0,1
119.122.157.38,0,1
119.122.157.71,0,1
119.122.162.198,1,0
119.122.163.59,1,0
119.122.164.3,0,1
119.122.173.196,1,0
119.122.174.177,0,1
119.122.179.172,1,0
119.122.181.114,1,0
119.122.181.35,1,0
119.122.186.205,1,0
119.122.186.220,0,1
119.122.189.171,1,0
119.122.196.231,0,1
119.122.199.43,1,0
119.122.2.247,0,1
119.122.21.194,1,0
119.122.214.190,1,0
119.122.229.196,1,0
119.122.236.54,0,1
119.122.239.206,0,1
119.122.248.0,1,0
119.122.248.61,0,1
119.122.249.41,0,1
119.122.27.38,0,1
119.122.35.66,0,1
119.122.39.117,0,1
119.122.39.188,0,1
119.122.44.106,0,1
119.122.51.69,0,1
119.122.52.59,1,0
119.122.58.195,1,0
119.122.64.64,1,0
119.122.65.29,1,0
119.122.67.160,0,1
119.122.78.216,0,1
119.122.87.247,0,1
119.152.103.115,1,0
119.152.14.42,0,1
119.152.148.203,0,1
119.152.152.243,0,1
119.152.153.8,0,1
119.152.161.149,0,1
119.152.17.195,0,1
119.152.178.115,0,1
119.152.208.81,1,0
119.152.211.252,0,1
119.152.214.51,1,0
119.152.22.95,1,0
119.152.23.33,0,1
119.152.241.247,0,1
119.152.44.163,0,1
119.152.80.167,1,0
119.152.94.16,0,1
119.214.198.253,0,1
119.214.227.1,0,1
119.214.243.238,1,0
119.63.102.107,0,1
