penulis;judul;pembimbing_pertama;pembimbing_kedua;abstrak;abstrak_inggris
Jarot Mukti Abdilah;PERTANGGUNGJAWABAN KORPORASI ATAS PENCEMARAN LINGKUNGAN HIDUP (Analisis Putusan Mahkamah Agung No 692 K/Pid.Sus/2010);Dr. Wartiningsih, S.H., M.Hum;Dr. Eny Suastuti, S.H., M.Hum;Perkembangan hukum pidana saat ini, korporasi merupakan subjek hukum pidana. Perumusan kejahatan korporasi masih menimbulkan persoalan, dikarenakan korporasi bukanlah suatu pribadi yang memiliki mens rea karena korporasi tidak mempunyai kalbu. Korporasi selaku badan usaha bukanlah seperti makhluk hidup layaknya seorang manusia. Korporasi tidak memiliki kehendak maupun daya berfikir, sehingga membutuhkan perantara manusia untuk melakukan suatu perbuatan hukum, tetapi perbuatan yang dilakukannya tersebut tidak hanya atas nama perseorangan melainkan juga atas nama suatu korporasi. Oleh karena itu, penelitian ini dilakukan untuk mengangkat mengenai masalah pertanggungjawaban korporasi, khususnya dalam pencemaran lingkungan hidup akibat limbah B3 (Bahan Berbahaya dan Beracun). Metode penelitian yang akan digunakan adalah yuridis normatif. Adapun pendekatan masalah yang digunakan adalah pendekatan kasus (Case Approach) digabungkan dengan pendekatan perundang-undangan (statue approach) dan pendekatan analisis (Analytical Approach). Hasil penelitian ini menunjukan bahwa pertanggungjawaban korporasi telah diatur dalam Undang-undang Nomor 23 Tahun 1997 tentang Pengelolaan Lingkungan Hidup maupun Undang-undang Nomor 32 Tahun 2009 tentang Perlindungan dan Pengelolaan Lingkungan Hidup sehingga korporasi dapat dijatuhi sanksi pidana. Tetapi disisi lain jika Jaksa maupun Hakim kurang tepat dalam menganalisis dan mengimplementasikan kasus, maka korporasi dapat lolos dari sanksi pidana. Oleh karena itu, perlu ketepatan dalam mengkaji kasus agar suatu korporasi dapat dipidana.   Kata Kunci : Korporasi, Pencemaran, Limbah;Currently, the criminal law corporation is subject to criminal law. The formulation of corporate crime still raises the issue, since the Corporation is not a person who has the mens rea because corporations have no heart. The Corporation as a business entity is not like a living thing as a human being. The Corporation does not have the will nor the power to think, thus requiring a human intermediary to perform a legal act, but the Act does not only on behalf of individuals but also on behalf of a corporation. Therefore, this study was conducted to raise about the issue of corporate accountability, particularly in environmental pollution as a result of B3 waste (hazardous and toxic materials). Research methods that will be used is the juridical normative. As for the issues approach used is approach a case (Case Approach) coupled with the statutory approach (statue approach) and analytical approach (Analytical Approach). The results of this study show that the Corporation's accountability has been regulated in law No. 23 of 1997 on environmental management as well as law No. 32 of 2009 on the protection and management of the environment so that the Corporation can be sentenced to criminal sanctions. But on the other hand if the Attorney or judge is less precise in analyzing and implementing a case, then the Corporation may escape from criminal sanction. Therefore, it is necessary to examine the accuracy in the case of a corporation can be liable.  Keywords: Corporations, Pollution, Waste
Arditya Santoso Putro;KEKUATAN HUKUM AKTA LEGALISASI NOTARIS;Mishbahul Munir, S.H., M.Hum;Dr. Mufarrijul Ikhwan, S.H., M.Hum;ABSTRAK  Akta di bawah tangan dibuat tanpa melibatkan pejabat berwenang, sehingga pembuktiannya tergantung dari pengakuan dari pihak pembuat akta. Risiko pemungkiran lebih tinggi oleh ahli waris apabila pembuat akta meninggal dunia. Notaris berwenang melegalisasi akta. Hal ini menarik karena kekuatan hukum akta legalisasi tidak diatur dengan jelas. Karenanya penelitian ini mengangkat masalah mengenai kekuatan hukum dan akibat hukum akta legalisasi Notaris dalam hal pembuat akta meninggal dunia. Metode penelitian ini menggunakan penelitian hukum normatif. Adapun pendekatan masalah menggunakan pendekatan perundang-undangan (statute approach). Hasil penelitian menunjukkan Akta legalisasi Notaris memiliki kekuatan hukum sempurna sebagai alat bukti dalam perkara perdata. Nilai sempurna akta legalisasi didasarkan pada lima kepastian hukum yang dijamin kebenarannya oleh pejabat berwenang Notaris terkait kepastian sahnya, identitas, tanda tangan, tanggal dan tempat terhadap akta yang dibuat oleh para pihak. Nilai kekuatan hukum akta legalisasi sempurna, sepanjang tidak dipungkiri oleh para pihak. Akibat hukum terhadap akta legalisasi dalam hal pembuat akta meninggal dunia terdiri dari dua hal yaitu Peralihan hak dan kewajiban kepada ahli waris dan risiko hukum pemungkiran akta oleh ahli waris. Peralihan hak dan kewajiban berarti hak dan kewajiban yang tertuang pada akta legalisasi yang telah disepakati beralih kepada masing – masing ahli waris.  Risiko hukum pemungkiran akta oleh ahli waris berarti ahli waris diberikan hak lebih luas untuk memungkiri kebenaran akta legalisasi.;ABSTRACT  Deed under the hand made without involving the authorities official, so that the proof depends on the admitting of the deed maker. Rejection higher risk by deed if the heir dies. Notarial deed legalize authorities. This is interesting because it is not legally enforceable deed clearly regulated legalization. Therefore this study raised the issue of the power of law and the legal consequences of legalization notary deed in deed died. This research method using normative legal research. The approach to the problem using the approach of law (statute approach). The results showed Notarial Deed legalization have perfect legal power as tool of prove in civil dispute. Deed legalization perfect score is based on five legal certainty vouched for by the relevant authorities Notary legitimate certainty, identity, signature, date and place of the deed made by the parties. Value of the power law legalizing perfect deed, along no doubt by the parties. Legal consequences of the legalization deed in deed dies consist of two things: the shift of rights and obligations to the heirs and legal risks admitting deed by the heirs. The right and obligation transition means the right and obligation that most decants on legalization agreed to switch to each - their heirs. Rejections jurisdictional risk deed by heir matter heir be given right for wider to disown truth legalization deed.
SONNY MARTA MARDANA;PENGAWASAN DAN PENCEGAHAN OLEH KEJAKSAAN TERHADAP ALIRAN KEPERCAYAAN (PASAL 30 AYAT (3) HURUF D DAN E UNDANG UNDANG NO. 16 TAHUN 2004;DR. ENY SUASTUTI, SH., M.HUM;SAIFUL ABDULLAH, SH., MH;Aliran kepercayaan yang menyimpang di desa karang gayam kecamatan omben kabupaten sampang adalah penodaan terhadap agama sesuai dengan putusan no. 69 / pid.b / 2012 / pn.spg. Berkaitan dengan ini untuk meminimalisir serta menghindari penodaan agama, maka Kejaksaan merupakan institusi penegak hukum dalam bidang ketertiban dan ketentraman umum dalam Pasal 30 ayat (3) huruf d dan e Undang-undang No. 16 tahun 2004 . Langkah Kejaksaan dalam melakukan pengawasan dan pencegahan menggunakan metode represif untuk menangkal terjadinya pelanggaran pidana dengan ketentuan peraturan perundang-undangan dan preventif sarana pencegahan sebelum terjadinya pelanggaran pidana     Kata Kunci: Kejaksaan, Pengawasan, Pencegahan, Aliran Kepercayaan, Aliran Sesat.;The flow of a belief that deviate in the village of karang gayam sub-district omben district sampang is desecration to religion accord by verdict no. 69 / pid.b / 2012 / pn.spg. Concerned with this. As well as to minimize to avoid the defilement of religions, the prosecutor ' s office is institution law enforcers in the field of public order, and peace in article 30 subsection ( 3 ) the letters d and e the act of no. 16 / 2004. Step prosecutor ' s office in conducting surveillance and prevention of using methods repressive to thwart the occurrence of a criminal offense with the provisions of legislations and preventive a means of prevention before the occurrence of a criminal offense     Key words: Prosecutors, supervision, prevention, Beliefs, Traditions, perverse
MULYA HENDRAWAN;KEDUDUKAN KOMISI KEJAKSAAN DALAM SISTEM PERADILAN PIDANA (CRIMINAL JUSTICE SYSTEM);DR. ENY SUASTUTI, SH., M.HUM;AHMAD AGUS RAMDLANY, SH., MH;Pengawasan sistem peradilan pidana meliputi polisi, Jaksa, pengacara, pengadilan dan lembaga pemasyarakatan tersebut harus dilakukan secara ketat. Pengawasan terhadap lembaga Kejaksaan telah dilakukan sejak lama oleh Jaksa Agung yang dilakukan oleh pengawasan internal sebagai pengawas. Masalah-masalah yang timbul karena gejala yang terjadi adalah dimanakah letak kedudukan Komisi Kejaksaan dalam sistem peradilan pidana serta Apakah kewenangan yang dimiliki oleh Komisi Kejaksaan sudah cukup atau perlu diberikan perluasan. Dalam melaksanakan tugasnya Komisi Kejaksaan hanya sebatas mengawasi tetapi bukan sebagai pelaku sidang pengadilan. Kewenangan yang dimiliki oleh Komisi Kejaksaan memerlukan perluasan, agar lebih memberikan efek penekanan terhadap oknum jaksa.    Kata Kunci : Komisi Kejaksaan dan Pengawasan.;Supervision of the criminal justice system of the series include police, Prosecutors, Lawyers, courts and correctional institutions should be carried out strictly. Supervision of Prosecutorial agencies have done since long ago by the Deputy Attorney General for internal Oversight as Trustees. The problems that arise due to the symptoms that occur is where lies the prosecutorial Commission position in the criminal justice system as well as whether the authority that belongs to the prosecutorial Commission so far is sufficient or needs to be granted an extension. In carrying out its duties the prosecutorial Commission limited to overseeing but not as perpetrators of the court proceedings. The authority that belongs to the prosecutorial Commission requires expansion, because it is less put pressure towards the plurality of prosecutors.    Keywords: prosecution and Supervision Commission.
Ahmad Harir;ANALISIS YURIDIS ELECTRONIC DATA INTERCHANGE (EDI) DALAM TRANSAKSI BISNIS SECARA ONLINE;Rhido Jusmadi, S.H., M.H;Sri Maharani, M.T.V.M, S.H., M.H;Pemanfaatan Internet dalam sistem perdagangan elektronik menjadi suatu hal yang sangat utama terhadap pelayanan serba cepat, mudah dan praktis untuk kegiatan-kegiatan bisnis dan berpengaruh pada sistem pertukaran informasi bisnis. Kehadiran EDI menjadi salah satu solusi pemecahan permasalah pertukaran informasi bisnis yang dulunya menggunakan cara konvensional berupa media kertas, menjadi pertukaran data elektronik melalui sistem komputer yang secara umum diterima diantara partner dagang, hal ini menimbulkan rasa ketertarikan bagi peneliti untuk mengetahui lebih lanjut mengenai EDI, bentuk pengaturan EDI yang diatur dalam ketentuan hukum di Indonesia, dan kedudukan EDI jika dijadikan alat bukti apabila timbul sengketa dalam transaksi bisnis. Metode penelitian ini menggunakan penelitian hukum normatif, yaitu suatu penelitian yang difokuskan untuk mengkaji penerapan kaidah-kaidah hukum positif. Adapun pendekatan masalah menggunakan pendekatan perundang-undangan (statue approach) yang  terkait tentang sistem EDI, dan peraturan perundang-undangan lainnya yang mendukung. Hasil penelitian menunjukkan bahwa EDI sah sebagai alat bukti yang diatur dalam berbagai peraturan yang terdapat di indonesia. Kedudukan EDI sebagai alat bukti dalam Pembuktian di Indonesia melalui pengadilan masuk bukti tertulis dan memiliki kekuatan pembuktian layaknya akta otentik jika dokumen EDI dicetak atau di print out mendapatkan sertifikasi elektronik dari lembaga sertifikasi elektronik dan sepanjang informasi yang tercantum didalamnya dapat diakses, ditampilkan, dijamin keutuhannya, dan dapat dipertanggungjawabkan. Berkenaan dengan sistem EDInya sebagai pertukaran data dari informasi elektronik yang sulit dipahami, dan dibuktikan dalam hal ini hakim dapat menunjuk saksi ahli yang berkompetan dalam bidang tersebut berdasarkan pada kesepakatan para pihak atau kehendak hakim itu sendiri. Hakim juga harus berani untuk menciptakan hukum dengan menggali nilai-nilai yang ada didalam masyarakat.;Internet utilization in electronic commerce system is important  case about quick service, easy and practical to bussines activity and influence to exchange information business system. The present of EDI will be one of  problem solving solution of information exchange from the conventional way by using letter to the data exchange by using computer system. It is generally receive by commerce partner. This case causes the researcher attract to know more about EDI. The setting of EDI that settle in Indonesian law officially, and the position of EDI is being an evidence if there will be an legal action in bussines transaction. The research method is using normative law research. It is an research that focuse to recite the application of positive law norm. the approach of this research is using statue approach that related with EDI system and the other of law that advocate this research.the result of this research is showed that EDI system is legal as evidence that settle in variety of the law in Indonesia. The position of EDI as evidence in verification in Indonesia by the court is include to the written evidence and  it has evidence power as authentic official document if the EDI document is printed out to get the electronic certificate from the electronic certificate institute. Along the information is accesstable, easily to show, secured the wholeness, and accountable. Sistemic about EDI as data exchange from the electronic information that not only difficult to understand but also unprovable. In this case the judge can point the expert deponent that competical in this case according to the agreement or from the judge’s pleasure. The judge coulde be brave to create the law with discover the values in society.
MOHLIS NOR HIDAYAT;TINJAUAN YURIDIS TERHADAP TINDAK PIDANA PENDANAAN TERORISME (FINANCING OF TERRORISM);RUSMILAWATI WINDARI, S.H., M.H.;SAIFUL ABDULLAH, S.H, M.H.;ABSTRAK  Terorisme merupakan suatu kejahatan yang terorganisir dilakukan oleh sekelompok orang yang mempunyai kepentingan politik tertentu yang mengakibatkan banyak korban dan berdampak baik pada keadaan stabilitas perekonomian, sosial, politik dan budaya suatu negara. Tanpa kita sadari, sebagai salah satu kejahatan transnasional terorganisir bantuan atau penyediaan dana dalam jumlah yang banyak sangat diperlukan agar hasil yang akan dicapai terlaksana dengan baik. Tanpa adanya dukungan atau penyediaan dana dalam jumlah besar, akan menjadi sulit teroris dalam mewujudkan aksinya. Oleh karena itu, patut diketahui kualifikasi delik dan pertanggungjawaban bagi seseorang yang patut diduga  melakukan suatu perbuatan pendanaan terorisme (financing of terrorism).  Jenis penelitian ini adalah penulisan hukum normatif, dengan menggunakan metode pendekatan perundang-undangan (conceptual approach). Selanjutnya, analisa secara logika deduktif sehingga mendapat hasil analisis yang mendalam.  Hasil penelitian yang diperoleh adalah bahwa tindak pidana pendanaan terorisme diatur dalam Undang-undang Nomor 9 tahun 2013 Tentang Pencegahan dan Pemberantasan Tindak Pidana Pendanaan Terorisme, yang mana substansi Undang-undang tersebut menyatakan bahwa dalam Pasal 4, Pasal 5, dan Pasal 6 yang dapat dikatakan melakukan pendanaan terorisme yaitu suatu perbuatan yang dengan sengaja menyediakan, mengumpulkan, memberikan, atau meminjamkan Dana, baik langsung maupun tidak langsung,permufakatan jahat, percobaan, atau pembantuan, merencanakan, mengorganisasikan, atau menggerakkan orang lain untuk melakukan tindak pidana pendanaan terorisme. Sedangkan dalam hal pertanggungjawaban pidana pendanaan terorisme yang secara sifat melawan hukum yang memenuhi unsur-unsur kesalahan (dolus) menggunakan pertanggungjawaban pidana perorangan (natuurlijk persoon) dan badan hukum/korporasi (rechtpersoon) yang diatur dalam Pasal 8 Undang-undang Nomor 9 Tahun 2013 tentang Pencegahan dan Pemberantasan Tindak Pidana Pendanaan Terorisme.    Kata Kunci : Tindak Pidana, Terorisme, Pendanaan Terorisme.;ABSTRACT  Terrorism is a crime which is organized by a group of people who have certain political interests that resulted in many casualties and impact both on the state of economic stability, social, and political culture of a country. Without us knowing, as one of the transnational organized crime assistance or provision of funds in large amounts is necessary for the results to be obtained performing well. Without the support or the provision of large amounts of funds, would be difficult to realize the terrorists in action. Therefore, it is worth noting qualifications and liability offense for a person who is suspected perform an act of terrorism financing (financing of terrorism).  This research is a normative legal writing, using the statutory approach (conceptual approach). Furthermore, the analysis of deductive logic that gets results-depth analysis.  The result obtained is that the financing of terrorism offenses stipulated in Law No. 9 of 2013 On the Prevention and Eradication of the Financing of Terrorism, which is the substance of the Act states that in Article 4, Section 5, and Section 6, which can be said undertake the financing of terrorism is an act that intentionally provide, gather, give, or lend funds, either directly or indirectly, conspiracy, attempt, or assisting, planning, organizing, or move others to commit criminal acts of terrorism financing. Whereas in the case of criminal liability for terrorist financing that meets the unlawful nature of the elements of the error (dolus) using individual criminal responsibility (Natuurlijk persoon) and legal entities / corporations (rechtpersoon) set forth in Article 8 of Law No. 9 of 2013 concerning Crime prevention and Combating the Financing of Terrorism.  Keywords: Crime, Terrorism, Terrorism Financing.
MEDIAN KRISTIAWAN;PENYIMPANGAN PENYIDIK DALAM MENANGANI TINDAK PIDANA NASRKOBA (STUDI KASUS DI POLRES NGANJUK;H.BOEDI MUSTIKO.,S.H.,M.Hum;AHMAD AGUS RAMDLANY;ABSTRAK    Pembangunan kesehatan sebagai bagian integral dari pembangunan nasional diarahkan guna tercapainya kesadaran, kemauan dan kemampuan hidup sehat bagi setiap penduduk agar dapat mewujudkan derajat kesehatan yang optimal, yang dilakukan melalui berbagai upaya kesehatan, di antaranya penyelenggaraan pelayanan kesehatan kepada masyarakat. Meskipun narkoba sangat diperlukan untuk pengobatan dan pelayanan kesehatan, namun bila disalahgunakan atau digunakan tidak sesuai standar pengobatan, terlebih jika disertai dengan peredaran narkoba secara gelap akan menimbulkan akibat yang sangat merugikan perorangan ataupun masyarakat, khususnya generasi muda. Berdasarkan uraian latar belakang tersebut di atas, permasalahan yang dijadikan obyek di dalam  skripsi ini adalah : Bagaimana peran penyidik dalam menjalankan tugas untuk menangani tindak pidana Narkoba ?  Jenis penelitian ini adalah penelitian hukum empiris. Penelitian hukum empiris adalah penelitian dengan pendekatan empiris. Penelitian yang susun adalah termasuk penelitian yang bersifat deskriptif. Penelitian ini menggunakan jenis pendekatan kualitatif, yaitu pendekatan yang digunakan oleh peneliti berdasarkan pada data-data. Peran penyidik di Kabupaten Nganjuk untuk mengurangi tindak pidana narkoba adalah sesuai dengan Undang-Undang yang mengatur ini dapat dilihat dari peran penyidik yang melakukan tugas penyidikan akan tetapi ada inovasi untuk mengurangi tindak pidana narkoba yaitu seorang informan dimana orang tersebut dalah pemakai dan pengedar narkoba yang di percaya oleh penyidik utuk mengungkap jaringan pemakai dan pengedar untuk memutus rantai kejahatan narkoba di Kabupaten Nganjuk. Keberadaan UU No 35 tahun 2009 tentang narkotika diharapkan agar para pelaku tindak pidana narkotika semakin jera, karena sanksi yang diatur di dalamnya mengatur tegas tentang kejahatan-kejahatan narkotika. Upaya- upaya untuk memecahkan kendala- kendala penyidikan tindak pidana Narkotika di Kota Nganjuk yaitu dengan melakukan latihan rutin sebagai alternatif untuk mengatasi kekurangan khusus mengenai penyidikan Narkotika. Penyuluhan yang dilakukan kepolisan sebagai upaya penanggulangan preventif tindak pidana Narkoba        Kata Kunci : Narkoba, Peran Penyidik, Undang-Undang No 35 tahun 2009;ABSTRACT    Health development as an integral part of national development will be directed towards the achievement of awareness, willingness and ability of healthy life for every resident in order to achieve optimal health status, which is done through a variety of health measures, including the provision of services to the community. Although the drug is needed for treatment and health care, but if misused or not used according to the standard treatment, especially if accompanied by illicit drug trafficking will lead to a result which is very detrimental to individuals and society, especially the younger generation. Based on the description above background, the problems that made the object in this paper is: How does the role of the investigator in carrying out the task of dealing with drug crime? The research is empirical legal research. Empirical legal research is research with an empirical approach. Including stacking research is descriptive research. This research uses a qualitative approach, which is the approach used by the researchers based on the data. The role of the investigator in Nganjuk to reduce drug crime are in accordance with the Act governing can be seen from the role of the investigator who perform the duties of investigation but there are innovations to reduce drug crime is an informant in which the person dalah users and drug dealers are in believed by investigators weeks to unravel the network of users and dealers to break the chains of drug crimes in Nganjuk. The existence of Act No. 35 of 2009 on narcotics expected that the doers increasingly wary, because the law says sanctions set firmly on narcotics crimes. Efforts to solve the constraints in the investigation of criminal offenses Narcotics Nganjuk City is by doing regular exercise as an alternative to address specific deficiencies concerning narcotics investigation. Counseling is done kepolisan as a crime preventive efforts to control drug        Keywords: Drugs, Role of Investigators, Law No. 35 of 2009
ADITYA RAGA SUNU;PELAKSANAAN INVESTASI ASING DI BIDANG PERDAGANGAN DAN PERINDUSTRIAN BERDASARKAN UU NO 25 TAHUN 2007 DAN UU NO 40 TAHUN 2007;Dr. Muffarijul Ikhwan, S.H.,M.Hum;Dr. Indien Winarwati, S.H.,M.H;ABSTRAK  Investasi asing adalah modal asing secara langsung yang dilakukan menurut atau berdasarkan ketentuan-ketentuan Undang-undang dan digunakan menjalankan perusahaan di Indonesia.  Dalam hal ini, pengertian dilakukan secara langsung adalah investor secara langsung akan menanggung segala resiko yang akan dialami dari penanaman modal tersebut. Investasi asing di kabupaten jombang cenderung bergerak di bidang perdagangan dan perindustrian yang dikarenakan bidang ini sedang dipromosikan untuk para investor asing dan menjadi skala prioritas nasional. Oleh karena itu penelitian ini akan menjelaskan tentang pelaksanaan investasi asing di bidang perdagangan dan perindustrian di Jombang. Metode penelitian yang digunakan  adalah yuridis empiris. Adapun pendekatan masalah menggunakan pendekatan kualitatif digabungkan dengan pendekatan perundang-undangan dan pendekatan fakta. Hasil penelitian ini menunjukkan bahwa Pelaksanaan investasi asing di jombang pada bidang perdagangan dan perindustrian berkembang dengan sangat cepat sehingga jombang mendapatkan investment award dari pemerintah provinsi jawa timur. Perusahaan Penananam Modal Asing atau PMA di Jombang berkewajiban membuat Laporan Kegiatan Penanaman Modal (LKPM) setiap triwulan agar dapat diketahui perkembangan investasi yang ada di jombang. Para investor asing juga akan dimudahkan dalam menanamkan modal di kabupaten jombang dengan adanya Sistem Pelayanan Informasi dan Perizinan Investasi Secara Elekronik (SPIPISE). Adanya layanan ini para investor asing akan dilayani melalui SPIPISE sehingga dapat memenuhi pendaftaran penanaman modal yang ada di jombang. Layanan ini juga sudah melaksanakan aturan tentang perlayanan terpadu satu pintu (PTSP) untuk pendaftaran investasi asing yang diatur dalam Undang-undang no 25 tahun 2007.;ABSTRACT  Foreign investment is capital foreign that directly do based on the law and use to operate the corporation or business in Indonesia. In this case directly doing has meaning that the investor directly will be take the risks from the capital investment. Capital investment in jombang is disposed does in commercial and industry sector because this sector is being promose to the foreign investors and become national priority scale. From the case above, this research will explain about implementation of foreign capital in commercial and industry sector in Jombang. The research method is judicial and empirical formality. Problem approach is qualitative approach, legislation approach, and fact approach. The result of this research showed that the implementation of foreign capital in commercial and industry sector in jombang was rapidly developed. So, Jombang get investment award from province government. The Foreign Capital Investment (PMA) in Jombang is obliged to make the Report of Capital Invesment Activity every three month, so it can be show the development of Invesment activity in Jombang. The foreign investors also can be more easy to invest their capital in Jombang with the rising of  the information service and investment permission system electronically(SPIPISE). From this service, the investors are served by SPIPISE so they can complete the capital investment registration in Jombang. This service is also act on the law about Integrated One stop service (PTSP) to foreign investment registration that settle on the legislate number 25 in 2007.
AYU DESI MUSTIKA;ANALISIS PELAKSANAAN PUTUSAN MAHKAMAH KONSTITUSI TERKAIT DENGAN STATUS ANAK LUAR KAWIN MENURUT KOMPILASI HUKUM ISLAM;Indah Purbasari, SH.,LL.M;Encik Muhammad Fauzan, S.H., LL.M;Pernikahan dibawah tangan atau siri adalah pernikahan yang sah secaraagama/kepercayaan dan tidak memiliki legitimasi hukum karena tidak adanya catatan perkawinan. Permasalahan legitimasi perkawinan siri ini dialami pula oleh Machica Mochtar yang mengajukan yudicial review ke Mahkamah Konstitusi karena tidak terpenuhinya hak konstitusional anak luar kawin (ALK) dari pernikahan siri. Penelitian ini bertujuan memperoleh kejelasan mengenai pencatatan anak luar kawin baik sebelum maupun sesudah Putusan Mahkamah Konstitusi. Metode penelitian yang digunakan adalah hukum normatif dengan menggunakan pendekatan Undang-undang (statue approch) dan kasus (case approch). Hasil penelitian ini menunjukkan bahwa Putusan MK atas Kasus Machica Mochtar tersebut terkait dengan status ALK yang dimungkinkan mendapatkan pengakuan ayah biologis melalui Tes DNA. Permasalahannya  apabila ALK dicatatkan dengan nama ayah biologisnya hal ini bertentangan dengan hukum Islam yang mendefinisikanALK hanya sebatas anak hasil zina.Pencatatan ALK dengan nama ayahnya atas dasar hasil tes DNA akan menimbulkan pengkaburan nasib anak tersebut. Putusan MK yang mengatur pengesahan anak luar kawin dengan menggunakan tes DNA bertujuan untuk melindungi status anak. Namun, pengesahan anak tersebut akan menimbulkan pelanggaran ketertiban pencatatan perkawinan yang juga bertujuan untuk melindungi status dari perkawinan tersebut. Oleh karena itu, MK seharusnyalebih menjelaskan pengertian tentang anak luar kawin agar tidak memimbulkan berbagai penafsiran. Penambahan tes DNA juga diperlukan dalam persyaratan pencatatan ALK agar tidak menjadi kekhawatiran akan keaslian anak tersebut. Dengan demikian, adanya penambahan persyaratan pencatatan maka secara otomatis peraturan pelaksana termasuk Peraturan Daerah tersebut harus diganti atau dirubah.;"Marriage that is done out of National Marriage Record or “siri” is legal according to certain religion or belief but it does not have any legitimacy because of no marriage record nationally. Legitimacy problem of siri marriage is also experienced by Mochtar Machica who files judicial review to the Constitutional Court because the constitutional rights of illegitimate children (ALK) from siri marriage is not fulfilled. The purpose of this study is to gain a clear record of illegitimate children both before and after the Constitutional Court's decision. The research method used is a normative law by using the approach of Law (statue approach) and case (case approach). Result of this study shows that the Constitutional Court's decision on the case of Machica Mochtar, related to illegitimate status, gives her a possibility to obtain recognizance of biological father through DNA testing. The problem occurs when illegitimate child listed with the name of the biological father; it surely against Islamic law which defines illegitimate child is only a child of adultery. Illegitimate child recording with the father's name on the basis of DNA test results will create a blurring fate to the child. Court decision that arranges the illegitimate child endorsement using DNA testing aims to protect the child's status. However, endorsement of the child will violate the registration order of marriages recording which also aims to protect the status of the marriage. Therefore, the Court should explain better about the definition of illegitimate children in order to avoid various interpretations. The addition of DNA testing is also required in illegitimate children listing requirements in order to ensure the authenticity of the child. Thus, the additional recordkeeping requirements then implementing regulations including the Regulation should be changed or altered automatically."
WAHYU NUR EKO YOGA;KOMPETENSI PENGADILAN NEGERI DALAM MEMBATALKAN PUTUSAN ARBITRASE;RHIDO JUSMADI, S.H., M.H.;MISBAHUL MUNIR, S.H., M.Hum;ABSTRAK  Alternative Dispute Resolution (ADR) atau Alternatif Penyelesaian  Sengketa merupakan proses hukum yang paling banyak dipilih oleh para pelaku  bisnis karena proses hukumnya yang relatif mudah dan cepat. Model penyelesaian  sengketa dengan jalan ADR yang paling sering digunakan para pihak yang  bersengketa adalah arbitrase. Arbitrase memiliki banyak kelebihan, diantaranya  putusan bersifat final dan binding, waktu penyelesaian sengketa yang lebih cepat  dan biaya yang lebih murah. skripsi ini mengkaji tentang bagaimana kedudukan  hukum putusan arbitrase dan apa saja bentuk upaya hukum yang dapat ditempuh  oleh para pihak apabila merasa tidak puas dengan putusan arbitrase. Metode  penulisan yang digunakan dalam penulisan skripsi ini adalah yuridis normatif  karena dalam penelitian ini pengumpulan data diperoleh dari menganalisa bahan  kepustakaan serta menganalisa peraturan perundang-undangan. Hasil penelitian  dari pembahasan menunjukkan bahwa pengadilan tidak berwenang untuk  memeriksa kembali perkara yang telah dijatuhkan putusan arbitrase yang  mempunyai sifat final dan binding kecuali apabila terdapat perbuatan melawan  hukum dalam pengambilan putusan arbitrase serta melanggar ketertiban umum.  Upaya hukum yang dapat ditempuh oleh para pihak apabila merasa tidak puas  dengan putusan arbitrase maka para pihak dapat mengajukan permohonan  pembatalan putusan arbitrase ke pengadilan negeri dan upaya banding ke  mahkamah agung dan Upaya tersebut hanya dapat dilakukan dalam batas waktu  yang ditentukan dalam undang-undang.;ABSTRACT  Alternative Dispute Resolution (ADR) is a legal process that most  preferred by business people because the legal process is relatively easy and fast.  Model of dispute resolution by way of ADR most commonly used of the parties to  the dispute is arbitration. Arbitration has many advantages, such decision shall be  final and binding, the time resolution of disputes faster and cheaper cost. This  minithesis examines how the legal position arbitration verdict and any form of  legal action that can be taken by the parties if it was not satisfied with the  arbitration verdict. The method used in this miniskripsi is normative for data  collection in this study was obtained from analyzing the literature and analyzing  legislation. The results of the study show that the court has no authority to reexamine  the case which has been handed down the verdict having final and  binding nature except when there is an unlawful act in making the verdict and  violating public order. Legal action that can be taken by the parties if not satisfied  with the arbitration award the parties may apply for cancellation of the verdict to  the district court and an appeal to the supreme court and the effort can only be  done within the time limit specified in the legislation.
